scenario,scenario_size,seed,step,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,node_compensation_sum,average_externality,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global,mode_safe,mode_normal,mode_aggressive,mode_reserve,mode_critical,method,mode_profile
stable_warehouse_load,Warehouse-M,0,3,11.628440143590314,1,3,0.3333333333333333,0.6666666666666666,0.0,5.90973560527533,5.90973560527533,0.037382409022236114,0.07476481804447223,0,0.6226669065654278,0.0,0.6226669065654278,0.006226669065654278,0.0,0.1928032650268552,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,4,5.492217748129615,1,1,1.0,0.0,0.0,19.938681106252147,19.938681106252147,0.06462304035064183,0.12924608070128366,0,0.2907079178839922,0.0,0.2907079178839922,0.002907079178839922,0.0,0.6127435604520226,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,5,0.0,1,0,1.0,0.0,0.0,55.64824510442219,55.64824510442219,0.0,0.0,0,0.009167008101940155,0.0,0.009167008101940155,9.167008101940155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,6,16.486982696664256,0,2,0.0,0.0,0.0,0.0,0.0,0.048691238167342415,0.09738247633468484,0,0.5529168993234634,0.0,0.5529168993234634,0.005529168993234634,8.881784197001252e-16,2.3924593458496464,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,7,0.0,2,0,2.0,0.0,0.0,28.523192443652363,36.43339980163119,0.0,0.0,0,0.008875038474798203,0.0,0.008875038474798203,8.875038474798203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,8,45.7707565358895,0,3,0.0,0.0,0.0,0.0,0.0,0.11021485900045043,0.16645167852052783,0,1.0519169736653566,0.0,1.0519169736653566,0.010519169736653566,0.0,3.1754958981852823,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,9,13.629456600431396,3,4,0.75,0.5,0.0,20.48432824361767,26.00084780914685,0.06253905866535152,0.10647721897395507,0,0.9498749859631062,0.0,0.9498749859631062,0.009498749859631062,0.0,0.6975768314747377,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,10,41.5118201656268,2,5,0.4,0.2,0.0,25.247800837399723,45.84535644140399,0.08150198897856242,0.13280491644582437,0,1.4480419922620058,0.0,1.4480419922620058,0.014480419922620058,1.4210854715202004e-14,5.87498468198477,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,11,4.779351528610997,4,2,2.0,0.5,0.0,6.629036060945964,8.831225906422162,0.0660043798557914,0.1320087597115828,0,0.3439169377088547,0.0,0.3439169377088547,0.0034391693770885468,0.0,0.5595767486310841,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
stable_warehouse_load,Warehouse-M,0,0,0.4808433706579429,0,1,0.0,0.0,0.0,0.0,0.0,0.030053247858345754,0.06010649571669151,0,0.253249891102314,0.09962497279047966,0.35287486389279366,0.0035287486389279366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,1,0.0,1,0,1.0,0.0,0.0,14.23005198096541,14.23005198096541,0.0,0.0,0,0.007708091288805008,0.13666599988937378,0.1443740911781788,0.0014437409117817879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,2,7.912721533799719,0,2,0.0,0.5,0.0,0.0,0.0,0.02057721827502953,0.04115443655005906,0,0.4545419942587614,0.09016599506139755,0.544707989320159,0.00544707989320159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,3,11.628440143590314,1,3,0.3333333333333333,0.6666666666666666,0.0,5.90973560527533,5.90973560527533,0.037382409022236114,0.07476481804447223,0,0.5741249769926071,0.057416968047618866,0.631541945040226,0.00631541945040226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,4,5.492217748129615,1,1,1.0,0.0,0.0,19.938681106252147,19.938681106252147,0.06462304035064183,0.12924608070128366,0,0.29187509790062904,0.16624992713332176,0.4581250250339508,0.004581250250339508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,5,0.0,1,0,1.0,0.0,0.0,55.64824510442219,55.64824510442219,0.0,0.0,0,0.006417045369744301,0.058165984228253365,0.06458302959799767,0.0006458302959799767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,6,16.486982696664256,0,2,0.0,0.0,0.0,0.0,0.0,0.048691238167342415,0.09738247633468484,0,0.5332499276846647,0.04554213955998421,0.5787920672446489,0.005787920672446489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,7,0.0,2,0,2.0,0.0,0.0,28.523192443652363,36.43339980163119,0.0,0.0,0,0.005417037755250931,0.04591583274304867,0.0513328704982996,0.000513328704982996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,8,45.7707565358895,0,3,0.0,0.0,0.0,0.0,0.0,0.11021485900045043,0.16645167852052783,0,0.904708867892623,0.05154102109372616,0.9562498889863491,0.009562498889863491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,9,13.629456600431396,3,4,0.75,0.5,0.0,20.48432824361767,26.00084780914685,0.06253905866535152,0.10647721897395507,0,0.7732920348644257,0.04454096779227257,0.8178330026566982,0.008178330026566982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,10,41.5118201656268,2,5,0.4,0.2,0.0,25.247800837399723,45.84535644140399,0.08150198897856242,0.13280491644582437,0,1.2812078930437565,0.04475004971027374,1.3259579427540302,0.013259579427540302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,11,4.779351528610997,4,2,2.0,0.5,0.0,6.629036060945964,8.831225906422162,0.0660043798557914,0.1320087597115828,0,0.3349580802023411,0.16595888882875443,0.5009169690310955,0.005009169690310955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,qmix_heuristic,default
stable_warehouse_load,Warehouse-M,0,0,0.4808433706579429,0,1,0.0,0.0,0.0,0.0,0.0,0.030053247858345754,0.06010649571669151,0,0.26395893655717373,0.12004189193248749,0.3840008284896612,0.003840008284896612,0.0,0.4808433706579429,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,1,0.0,1,0,1.0,0.0,0.0,14.23005198096541,14.23005198096541,0.0,0.0,0,0.010624993592500687,0.06695790216326714,0.07758289575576782,0.0007758289575576782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,2,7.912721533799719,0,2,0.0,0.5,0.0,0.0,0.0,0.02057721827502953,0.04115443655005906,0,0.4551669117063284,0.04545808769762516,0.5006249994039536,0.0050062499940395355,0.0,0.09936543748284077,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,3,11.628440143590314,1,3,0.3333333333333333,0.6666666666666666,0.0,5.90973560527533,5.90973560527533,0.037382409022236114,0.07476481804447223,0,0.6497921422123909,0.16670813784003258,0.8165002800524235,0.008165002800524235,0.0,0.1928032650268552,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,4,5.492217748129615,1,1,1.0,0.0,0.0,19.938681106252147,19.938681106252147,0.06462304035064183,0.12924608070128366,0,0.29250001534819603,0.06070802919566631,0.35320804454386234,0.0035320804454386234,0.0,0.6127435604520226,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,5,0.0,1,0,1.0,0.0,0.0,55.64824510442219,55.64824510442219,0.0,0.0,0,0.0085409265011549,0.045291148126125336,0.053832074627280235,0.0005383207462728024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,6,16.486982696664256,0,2,0.0,0.0,0.0,0.0,0.0,0.048691238167342415,0.09738247633468484,0,0.5976669490337372,0.046165892854332924,0.6438328418880701,0.006438328418880701,8.881784197001252e-16,2.3924593458496464,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,7,0.0,2,0,2.0,0.0,0.0,28.523192443652363,36.43339980163119,0.0,0.0,0,0.009916955605149269,0.1229580957442522,0.13287505134940147,0.0013287505134940147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,8,45.7707565358895,0,3,0.0,0.0,0.0,0.0,0.0,0.11021485900045043,0.16645167852052783,0,1.0306250769644976,0.05245814099907875,1.0830832179635763,0.010830832179635763,0.0,3.1754958981852823,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,9,13.629456600431396,3,4,0.75,0.5,0.0,20.48432824361767,26.00084780914685,0.06253905866535152,0.10647721897395507,0,1.0150829330086708,0.04454189911484718,1.059624832123518,0.01059624832123518,0.0,0.6975768314747377,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,10,41.5118201656268,2,5,0.4,0.2,0.0,25.247800837399723,45.84535644140399,0.08150198897856242,0.13280491644582437,0,1.5237920451909304,0.1634999644011259,1.6872920095920563,0.016872920095920563,1.4210854715202004e-14,5.87498468198477,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,11,4.779351528610997,4,2,2.0,0.5,0.0,6.629036060945964,8.831225906422162,0.0660043798557914,0.1320087597115828,0,0.34324987791478634,0.06449990905821323,0.4077497869729996,0.004077497869729996,0.0,0.5595767486310841,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,ample_amr,default
stable_warehouse_load,Warehouse-M,0,0,0.8939133893631652,0,1,0.0,0.0,0.0,0.0,0.0,0.06548204866237804,0.1309640973247561,0,0.41679106652736664,0.11266604997217655,0.5294571164995432,0.005294571164995432,0.0,0.8939133893631652,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,1,0.0,1,0,1.0,0.0,0.0,31.231095945017845,31.231095945017845,0.0,0.0,0,0.0,0.05170819349586964,0.05170819349586964,0.0005170819349586964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,2,7.750474722600806,0,2,0.0,0.5,0.0,0.0,0.0,0.02057721827502953,0.04115443655005906,0,1.1199999134987593,0.06991694681346416,1.1899168603122234,0.011899168603122234,0.0,0.07304538740256383,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,3,11.262168924013459,1,3,0.3333333333333333,0.6666666666666666,0.0,5.90973560527533,5.90973560527533,0.01824939569274842,0.036498791385496845,0,1.465291017666459,0.05537504330277443,1.5206660609692335,0.015206660609692335,0.0,0.07981375978884309,0.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,4,8.042509561641554,1,1,1.0,0.0,0.0,9.688422870290196,9.688422870290196,0.030247972034111132,0.060495944068222264,0,0.3815838135778904,0.04875008016824722,0.4303338937461376,0.004303338937461376,0.0,3.8129030752790634,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,5,0.0,1,0,1.0,0.0,0.0,25.89429167492125,25.89429167492125,0.0,0.0,0,0.0,0.17199991270899773,0.17199991270899773,0.0017199991270899773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,6,15.14348134763575,0,2,0.0,0.5,0.0,0.0,0.0,0.05247212009886794,0.10494424019773589,0,0.9614170994609594,0.1371670514345169,1.0985841508954763,0.010985841508954763,0.0,0.6429449865493115,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,7,0.0,1,0,1.0,0.0,0.0,42.48144440911574,42.48144440911574,0.0,0.0,0,0.0,0.05474989302456379,0.05474989302456379,0.0005474989302456379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,8,45.58860839924297,0,3,0.0,0.0,0.0,0.0,0.0,0.11136125956062357,0.136633173558031,0,1.9369169604033232,0.04575005732476711,1.9826670177280903,0.019826670177280903,0.0,5.797677117947529,0.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,9,13.092979181703791,3,4,0.75,0.25,0.0,22.373954766307406,34.26886447004093,0.09249274090858102,0.11636190385614448,0,2.46412493288517,0.049459049478173256,2.5135839823633432,0.025135839823633432,0.0,0.5353682730558518,0.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,10,39.433429848064854,3,5,0.6,0.2,0.0,19.378545197502984,44.08457974943497,0.09124337455317011,0.11982481950740026,0,4.027958959341049,0.046708155423402786,4.074667114764452,0.04074667114764452,0.0,3.3485816084830446,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
stable_warehouse_load,Warehouse-M,0,11,8.9840280351106,4,2,2.0,0.5,0.0,7.813794631962509,14.147268756551298,0.030559932636307036,0.061119865272614066,0,0.7777921855449677,0.04912493750452995,0.8269171230494976,0.008269171230494976,0.0,3.5431424024928653,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,c_ample_amr,default
peak_warehouse_load,Warehouse-M,0,0,0.4808433706579429,0,1,0.0,0.0,0.0,0.0,0.0,0.030053247858345754,0.06010649571669151,0,0.2350409049540758,0.0,0.2350409049540758,0.002350409049540758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,1,0.0,1,0,1.0,0.0,0.0,14.23005198096541,14.23005198096541,0.0,0.0,0,0.005417037755250931,0.0,0.005417037755250931,5.417037755250931e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,2,7.912721533799719,0,2,0.0,0.5,0.0,0.0,0.0,0.02057721827502953,0.04115443655005906,0,0.501750037074089,0.0,0.501750037074089,0.0050175003707408905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,3,11.628440143590314,1,3,0.3333333333333333,0.6666666666666666,0.0,5.90973560527533,5.90973560527533,0.037382409022236114,0.07476481804447223,0,0.5796670448035002,0.0,0.5796670448035002,0.005796670448035002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,4,13.582249812605987,1,1,1.0,0.0,0.0,19.938681106252147,19.938681106252147,0.046385172254656146,0.09277034450931229,0,0.30916696414351463,0.0,0.30916696414351463,0.0030916696414351463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,5,0.0,1,0,1.0,0.0,0.0,46.86343415315605,46.86343415315605,0.0,0.0,0,0.005458015948534012,0.0,0.005458015948534012,5.458015948534012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,6,17.476771795297992,0,2,0.0,0.0,0.0,0.0,0.0,0.07530503251110354,0.10098381930235835,0,0.553457997739315,0.0,0.553457997739315,0.00553457997739315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,7,0.0,2,0,2.0,0.0,0.0,49.62791694469104,76.53237635360468,0.0,0.0,0,0.005166977643966675,0.0,0.005166977643966675,5.166977643966675e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,8,43.88973177368654,0,3,0.0,0.0,0.0,0.0,0.0,0.13650002774543393,0.12128437032754279,0,0.9083328768610954,0.0,0.9083328768610954,0.009083328768610954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,9,16.430209190260182,3,3,1.0,0.3333333333333333,0.0,28.555055904554177,36.36557851320174,0.049929107205527644,0.06456869414740016,0,0.8364168461412191,0.0,0.8364168461412191,0.008364168461412191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,10,20.13863066207617,2,3,0.6666666666666666,0.3333333333333333,0.0,10.104370162209136,10.696442709575667,0.04466936061289627,0.0741109984115951,0,0.826000003144145,0.0,0.826000003144145,0.00826000003144145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,11,22.924143043548966,2,3,0.6666666666666666,0.3333333333333333,0.0,5.763085797301812,8.294249869640435,0.04872350073246378,0.09744700146492756,0,0.6245828699320555,0.0,0.6245828699320555,0.006245828699320555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_heuristic,default
peak_warehouse_load,Warehouse-M,0,0,0.4808433706579429,0,1,0.0,0.0,0.0,0.0,0.0,0.030053247858345754,0.06010649571669151,0,0.24391594342887402,0.0,0.24391594342887402,0.00243915943428874,0.0,0.4808433706579429,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
peak_warehouse_load,Warehouse-M,0,1,0.0,1,0,1.0,0.0,0.0,14.23005198096541,14.23005198096541,0.0,0.0,0,0.008292030543088913,0.0,0.008292030543088913,8.292030543088913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
peak_warehouse_load,Warehouse-M,0,2,7.912721533799719,0,2,0.0,0.5,0.0,0.0,0.0,0.02057721827502953,0.04115443655005906,0,0.4602079279720783,0.0,0.4602079279720783,0.004602079279720783,0.0,0.09936543748284077,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
peak_warehouse_load,Warehouse-M,0,3,11.628440143590314,1,3,0.3333333333333333,0.6666666666666666,0.0,5.90973560527533,5.90973560527533,0.037382409022236114,0.07476481804447223,0,0.6094579584896564,0.0,0.6094579584896564,0.0060945795848965645,0.0,0.1928032650268552,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
peak_warehouse_load,Warehouse-M,0,4,13.582249812605987,1,1,1.0,0.0,0.0,19.938681106252147,19.938681106252147,0.046385172254656146,0.09277034450931229,0,0.32537500374019146,0.0,0.32537500374019146,0.0032537500374019146,0.0,0.49137878400927626,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,fixed_vcg,default
