scenario,scenario_size,seed,episode_steps,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,payment_robot_sum,payment_task_sum,node_compensation_sum,average_externality,externality_mean,externality_p95,externality_max,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global,method,mode_profile,externality_utilization_corr,externality_latency_corr,externality_queue_corr,relative_welfare_gain_vs_fixed_heuristic,relative_welfare_gain_vs_fixed_auction,relative_overhead_reduction_c_ample_vs_ample
stable_warehouse_load,Warehouse-M,0,80,491.7645454054291,144,170,0.8470588235294118,0.14705882352941177,0.0058823529411764705,22.044929728230375,65.2364005033329,0.067180928403095,0.10416903757549734,0,0.5396557611675235,0.0,0.5396557611675235,0.0053965576116752345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.5370840488163033,
stable_warehouse_load,Warehouse-M,1,80,714.8993381441239,135,171,0.7894736842105263,0.21052631578947367,0.0,18.921455057570913,53.73442726434418,0.06351061202100643,0.09876226846464276,0,0.49746818767744116,0.0,0.49746818767744116,0.004974681876774412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.3208926185907737,
stable_warehouse_load,Warehouse-M,2,80,453.4085487333829,166,200,0.83,0.17,0.0,20.617461880487912,55.15946907891754,0.08885791436187106,0.12841458593573557,0,0.5764584006101359,0.0,0.5764584006101359,0.005764584006101359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.5657344998562875,
stable_warehouse_load,Warehouse-M,3,80,887.5425412899295,193,216,0.8935185185185185,0.10185185185185185,0.004629629629629629,23.512165657166964,72.54880524303125,0.11272577679540116,0.14512123772315616,0,0.6745624119503191,0.0,0.6745624119503191,0.006745624119503191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.4200942913536291,
stable_warehouse_load,Warehouse-M,4,80,624.6263750190892,155,178,0.8707865168539326,0.12921348314606743,0.0,20.34452680089108,58.0577910226766,0.08090292948932737,0.11704979941094629,0,0.561180663498817,0.0,0.561180663498817,0.00561180663498817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fixed_heuristic,default,,,,0.0,-0.4584389431091031,
stable_warehouse_load,Warehouse-M,0,80,1062.3192917590445,119,170,0.7,0.3,0.0,21.769386557037787,53.14186815179771,0.0653117284865578,0.10214827640283816,0,0.809412450689706,0.0,0.809412450689706,0.00809412450689706,2.7977620220553945e-14,2.7977620220553945e-14,2.7977620220553945e-14,203.60751953171956,2.3510605227356256e-16,2.3510605227356256e-16,1.1546319456101477e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,fixed_auction,default,,-0.054137152896433505,,1.1602193604323972,0.0,
stable_warehouse_load,Warehouse-M,1,80,1052.7044142277252,115,171,0.672514619883041,0.32748538011695905,0.0,20.90802637776902,47.67742140454001,0.060931799504133896,0.09449731381467455,0,0.5726083774789004,0.0,0.5726083774789004,0.005726083774789004,7.427392034742297e-14,7.427392034742297e-14,7.427392034742297e-14,152.3640494494329,6.458601769341128e-16,6.458601769341128e-16,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,fixed_auction,default,,0.012112970081355047,,0.4725211761428428,0.0,
stable_warehouse_load,Warehouse-M,2,80,1044.081440002338,127,200,0.635,0.365,0.0,22.09279460411596,66.9793672819782,0.07268235380377105,0.11203665154868973,0,0.6404161373211537,0.0,0.6404161373211537,0.0064041613732115366,5.284661597215745e-14,5.284661597215745e-14,5.284661597215745e-14,202.00501606534124,4.1611508639494056e-16,4.1611508639494056e-16,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,fixed_auction,default,,-0.03297429157992988,,1.3027387615849466,0.0,
stable_warehouse_load,Warehouse-M,3,80,1530.4945753364827,156,216,0.7222222222222222,0.2777777777777778,0.0,27.774625409784477,94.1289877986617,0.10716652646519491,0.14920038972527025,0,0.7417765507852891,0.0,0.7417765507852891,0.0074177655078528915,5.928863276708601,5.928863276708601,5.928863276708601,349.64232544623405,0.03800553382505513,0.03800553382505513,3.552713678800501e-15,5.928863276708512,0.0,0.0,0.0,0.0,fixed_auction,default,,0.07659028835678199,,0.7244182719535952,0.0,
stable_warehouse_load,Warehouse-M,4,80,1153.3812615793877,124,178,0.6966292134831461,0.30337078651685395,0.0,20.297066286030155,56.6743119357963,0.06362841668428332,0.09813103981430428,0,0.7112203358701663,0.0,0.7112203358701663,0.007112203358701663,6.750155989720952e-14,6.750155989720952e-14,6.750155989720952e-14,196.5329509954659,5.443674185258832e-16,5.443674185258832e-16,3.552713678800501e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,fixed_auction,default,,-0.029315484011880843,,0.8465138644587962,0.0,
stable_warehouse_load,Warehouse-M,0,80,473.9531325874825,147,170,0.8647058823529412,0.13529411764705881,0.0,19.20900051828852,65.31461523245359,0.06243481533117286,0.10013287352788372,0,0.5994468378048623,0.08943438879214227,0.6888812265970046,0.006888812265970046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,-0.03621939195161412,-0.5538505830928799,
stable_warehouse_load,Warehouse-M,1,80,689.3872403570633,133,171,0.7777777777777778,0.2222222222222222,0.0,16.806298584440434,53.530246805306064,0.05515376292505696,0.08575609588669508,0,0.5313348876370583,0.07428852586599533,0.6056234135030536,0.006056234135030536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,-0.035686279768127806,-0.34512743459634404,
stable_warehouse_load,Warehouse-M,2,80,547.3179369933754,167,200,0.835,0.165,0.0,17.087321085051865,40.595542048365665,0.0741265149141789,0.11141746133044621,0,0.5837442367919721,0.04999216143914964,0.6337363982311217,0.006337363982311217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.20711869796529553,-0.4757899948952739,
stable_warehouse_load,Warehouse-M,3,80,990.7477962382281,195,216,0.9027777777777778,0.09259259259259259,0.004629629629629629,20.822150308950526,70.57092837976245,0.10472269160244001,0.14038516861856248,0,0.6742447760188952,0.049176560060004704,0.7234213360788999,0.007234213360788999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.11628203736386875,-0.352661674073291,
stable_warehouse_load,Warehouse-M,4,80,642.9560468458017,158,178,0.8876404494382022,0.11235955056179775,0.0,16.871675761122276,51.120506441079826,0.06763582030123558,0.09834680732252161,0,0.5485222871357109,0.057086950255325064,0.605609237391036,0.00605609237391036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.02934501737322937,-0.44254682448597527,
stable_warehouse_load,Warehouse-M,0,80,1103.2908911977058,118,170,0.6941176470588235,0.3058823529411765,0.0,21.21936346991368,63.53741511224834,0.05872263302470191,0.09571720117558863,0,0.5824791489430936,0.05516464952961542,0.637643798472709,0.00637643798472709,5.3734794391857577e-14,5.3734794391857577e-14,5.3734794391857577e-14,198.32102697468784,4.553796134903184e-16,4.553796134903184e-16,3.552713678800501e-15,5.329070518200751e-15,0.0,0.0,0.0,0.0,ample_amr,default,-0.039639127549708275,-0.08599313702767603,,1.2435348410246037,0.038568064946668125,
stable_warehouse_load,Warehouse-M,1,80,1102.0234307174692,116,171,0.6783625730994152,0.3216374269005848,0.0,17.208736269433672,45.98735148926902,0.051054695271873965,0.08249459840862533,0,0.5552963382797316,0.0631406106549548,0.6184369489346864,0.006184369489346864,2.853273173286652e-14,2.853273173286652e-14,2.853273173286652e-14,177.46669380972358,2.459718252833321e-16,2.459718252833321e-16,1.7763568394002505e-15,3.552713678800501e-15,0.0,0.0,0.0,0.0,ample_amr,default,,-0.012826041779558319,,0.5415085340242698,0.04684982396119701,
stable_warehouse_load,Warehouse-M,2,80,1131.3345746277732,129,200,0.645,0.355,0.0,16.845780218666654,56.805376089402635,0.055168386843572746,0.0843632360066268,0,0.6295948001934448,0.07358797411143314,0.703182774304878,0.00703182774304878,8.704148513061227e-14,8.704148513061227e-14,8.704148513061227e-14,263.008586778171,6.747401948109479e-16,6.747401948109479e-16,3.552713678800501e-15,1.4210854715202004e-14,0.0,0.0,0.0,0.0,ample_amr,default,,-0.05311469225412259,,1.4951769828517947,0.0835692804052142,
stable_warehouse_load,Warehouse-M,3,80,1622.9345582637616,155,216,0.7175925925925926,0.2824074074074074,0.0,25.372198141971534,94.13105353717327,0.09999827279484685,0.13831528393573841,0,0.832861426169984,0.09158959946944378,0.9244510256394278,0.009244510256394278,1.85293272919033,1.85293272919033,1.85293272919033,381.94254103272647,0.011954404704453742,0.011954404704453742,3.552713678800501e-15,1.4546685146292084,0.0,0.0,0.0,0.0,ample_amr,default,,0.36646221851168415,,0.8285710067542609,0.06039876548203753,
stable_warehouse_load,Warehouse-M,4,80,1218.3508599113316,131,178,0.7359550561797753,0.2640449438202247,0.0,16.26018204026582,57.08961680923676,0.060032641579697434,0.08783985544652546,0,0.6107572611654177,0.07883543694333639,0.6895926981087541,0.006895926981087541,4.39648317751562e-14,4.39648317751562e-14,4.39648317751562e-14,223.1194459046706,3.356094028637878e-16,3.356094028637878e-16,1.7763568394002505e-15,7.105427357601002e-15,0.0,0.0,0.0,0.0,ample_amr,default,0.10408872516567373,-0.04679379511568275,,0.950527401078921,0.05632968082295482,
