scenario,scenario_size,method,mode_profile,social_welfare,completion_rate,drop_rate,p95_latency_ms,welfare_gain_vs_fixed_heuristic,completion_gain_vs_fixed_heuristic,drop_reduction_vs_fixed_heuristic,latency_p95_reduction_vs_fixed_heuristic
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,190.18239302927023,0.7391304347826086,0.2608695652173913,143.1431185465235,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,208.2739672297437,0.7391304347826086,0.2608695652173913,122.69410161130588,18.091574200473474,0.0,0.0,20.449016935217628
network_degradation,Warehouse-M,ample_amr,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,7.087894304478169,0.04347826086956519,0.04347826086956519,35.88341726830099
network_degradation,Warehouse-M,c_ample_amr,default,160.42802638244262,0.6086956521739131,0.391304347826087,33.3802482783815,5.964285056918811,-0.04347826086956519,-0.0434782608695653,23.280683848539553
network_degradation,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_vcg,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,7.087894304478169,0.04347826086956519,0.04347826086956519,35.88341726830099
peak_warehouse_load,Warehouse-M,ample_amr,default,161.55163563000198,0.7619047619047619,0.238095238095238,20.777514858620066,7.087894304478169,0.04761904761904756,0.0476190476190477,35.88341726830099
peak_warehouse_load,Warehouse-M,c_ample_amr,default,160.2986431038641,0.6666666666666666,0.3333333333333333,33.3802482783815,5.8349017783402815,-0.04761904761904767,-0.047619047619047616,23.280683848539553
peak_warehouse_load,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.7142857142857143,0.2857142857142857,56.660932126921054,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,fixed_vcg,default,154.4637413255238,0.7142857142857143,0.2857142857142857,56.660932126921054,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.7619047619047619,0.238095238095238,20.777514858620066,7.087894304478169,0.04761904761904756,0.0476190476190477,35.88341726830099
scalability_sweep,Warehouse-L,ample_amr,default,355.3053301285987,0.75,0.25,44.28625796429936,39.99706337153526,0.0,0.0,1.8377688813897208
scalability_sweep,Warehouse-L,c_ample_amr,default,361.41183321526984,0.75,0.25,43.23461658030902,46.10356645820639,0.0,0.0,2.8894102653800573
scalability_sweep,Warehouse-L,fixed_heuristic,default,315.30826675706345,0.75,0.25,46.12402684568908,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_vcg,default,315.30826675706345,0.75,0.25,46.12402684568908,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,355.3053301285987,0.75,0.25,44.28625796429936,39.99706337153526,0.0,0.0,1.8377688813897208
scalability_sweep,Warehouse-M,ample_amr,default,114.77559330727551,0.6470588235294118,0.3529411764705882,33.60322688956893,7.668234776191838,0.0,0.0,29.589370553195522
scalability_sweep,Warehouse-M,c_ample_amr,default,111.44007322214355,0.6470588235294118,0.3529411764705882,34.29651635392898,4.332714691059877,0.0,0.0,28.896081088835473
scalability_sweep,Warehouse-M,fixed_heuristic,default,107.10735853108368,0.6470588235294118,0.3529411764705882,63.19259744276445,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,fixed_vcg,default,107.10735853108368,0.6470588235294118,0.3529411764705882,63.19259744276445,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,qmix_heuristic,default,114.77559330727551,0.6470588235294118,0.3529411764705882,33.60322688956893,7.668234776191838,0.0,0.0,29.589370553195522
scalability_sweep,Warehouse-M+,ample_amr,default,125.78820503979996,0.7647058823529411,0.2352941176470588,130.29887704102362,-15.591094068973732,0.0,0.0,21.71647950683726
scalability_sweep,Warehouse-M+,c_ample_amr,default,151.6447175233295,0.7058823529411765,0.2941176470588235,133.59155364519256,10.265418414555796,-0.05882352941176461,-0.05882352941176469,18.423802902668314
scalability_sweep,Warehouse-M+,fixed_heuristic,default,141.3792991087737,0.7647058823529411,0.2352941176470588,152.01535654786088,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M+,fixed_vcg,default,141.3792991087737,0.7647058823529411,0.2352941176470588,152.01535654786088,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M+,qmix_heuristic,default,125.78820503979996,0.7647058823529411,0.2352941176470588,130.29887704102362,-15.591094068973732,0.0,0.0,21.71647950683726
scalability_sweep,Warehouse-S,ample_amr,default,124.93159427453,0.9090909090909092,0.0909090909090909,53.20695443849357,6.318098587129398,0.0,0.0,26.60347721924687
scalability_sweep,Warehouse-S,c_ample_amr,default,124.923109339937,0.9090909090909092,0.0909090909090909,58.55518479195786,6.309613652536399,0.0,0.0,21.255246865782574
scalability_sweep,Warehouse-S,fixed_heuristic,default,118.6134956874006,0.9090909090909092,0.0909090909090909,79.81043165774044,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,fixed_vcg,default,118.6134956874006,0.9090909090909092,0.0909090909090909,79.81043165774044,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,qmix_heuristic,default,124.93159427453,0.9090909090909092,0.0909090909090909,53.20695443849357,6.318098587129398,0.0,0.0,26.60347721924687
scalability_sweep,Warehouse-XL,ample_amr,default,629.1357059553106,0.7530864197530864,0.2469135802469135,62.15593487377066,66.22901882198903,0.024691358024691357,0.024691358024691412,-7.045667190486824
scalability_sweep,Warehouse-XL,c_ample_amr,default,618.6906786096756,0.7283950617283951,0.2716049382716049,63.087966055282216,55.783991476354004,0.0,0.0,-7.977698371998379
scalability_sweep,Warehouse-XL,fixed_heuristic,default,562.9066871333216,0.7283950617283951,0.2716049382716049,55.11026768328384,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,fixed_vcg,default,562.9066871333216,0.7283950617283951,0.2716049382716049,55.11026768328384,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,qmix_heuristic,default,629.1357059553106,0.7530864197530864,0.2469135802469135,62.15593487377066,66.22901882198903,0.024691358024691357,0.024691358024691412,-7.045667190486824
sensitivity_operation_modes,Warehouse-M,ample_amr,aggressive_bias,162.2243377714582,0.6956521739130435,0.3043478260869565,19.1266869479021,8.589222153690486,0.0,0.0,17.63265780766335
sensitivity_operation_modes,Warehouse-M,ample_amr,conservative,160.58085380911308,0.6956521739130435,0.3043478260869565,22.93591702596156,11.913836782426358,0.08695652173913038,0.08695652173913049,13.016908672607226
sensitivity_operation_modes,Warehouse-M,ample_amr,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,7.087894304478169,0.04347826086956519,0.04347826086956519,35.88341726830099
sensitivity_operation_modes,Warehouse-M,c_ample_amr,aggressive_bias,160.2692000334805,0.6086956521739131,0.391304347826087,31.623393105835135,6.634084415712778,-0.08695652173913038,-0.08695652173913049,5.135951649730316
sensitivity_operation_modes,Warehouse-M,c_ample_amr,conservative,158.7521966639583,0.6086956521739131,0.391304347826087,31.89502957936944,10.08517963727158,0.0,0.0,4.057796119199349
sensitivity_operation_modes,Warehouse-M,c_ample_amr,default,160.42802638244262,0.6086956521739131,0.391304347826087,33.3802482783815,5.964285056918811,-0.04347826086956519,-0.0434782608695653,23.280683848539553
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,aggressive_bias,153.63511561776772,0.6956521739130435,0.3043478260869565,36.75934475556545,0.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,conservative,148.66701702668672,0.6086956521739131,0.391304347826087,35.95282569856879,0.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,0.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_vcg,aggressive_bias,153.63511561776772,0.6956521739130435,0.3043478260869565,36.75934475556545,0.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_vcg,conservative,148.66701702668672,0.6086956521739131,0.391304347826087,35.95282569856879,0.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_vcg,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,0.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,aggressive_bias,162.2243377714582,0.6956521739130435,0.3043478260869565,19.1266869479021,8.589222153690486,0.0,0.0,17.63265780766335
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,conservative,160.58085380911308,0.6956521739130435,0.3043478260869565,22.93591702596156,11.913836782426358,0.08695652173913038,0.08695652173913049,13.016908672607226
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,7.087894304478169,0.04347826086956519,0.04347826086956519,35.88341726830099
stable_warehouse_load,Warehouse-M,ample_amr,default,154.3439280004073,0.7391304347826086,0.2608695652173913,27.319665603413856,6.651337677006751,0.04347826086956519,0.04347826086956519,22.692875970745046
stable_warehouse_load,Warehouse-M,c_ample_amr,default,158.34513662797062,0.6521739130434783,0.3478260869565217,37.17440403045653,10.65254630457008,-0.04347826086956519,-0.04347826086956519,12.838137543702373
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,147.69259032340054,0.6956521739130435,0.3043478260869565,50.0125415741589,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,fixed_vcg,default,147.69259032340054,0.6956521739130435,0.3043478260869565,50.0125415741589,0.0,0.0,0.0,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,154.3439280004073,0.7391304347826086,0.2608695652173913,27.319665603413856,6.651337677006751,0.04347826086956519,0.04347826086956519,22.692875970745046
