scenario,scenario_size,method,mode_profile,social_welfare_mean,social_welfare_std,completion_rate_mean,completion_rate_std,drop_rate_mean,drop_rate_std,deadline_violation_rate_mean,deadline_violation_rate_std,p95_latency_ms_mean,p95_latency_ms_std,avg_node_utilization_mean,avg_node_utilization_std,total_decision_overhead_ms_mean,total_decision_overhead_ms_std,slot_share_mean,slot_share_std,externality_mean_mean,externality_mean_std,payment_task_sum_mean,payment_task_sum_std,externality_utilization_corr_mean,externality_utilization_corr_std,externality_latency_corr_mean,externality_latency_corr_std,externality_queue_corr_mean,externality_queue_corr_std,relative_welfare_gain_vs_fixed_heuristic_mean,relative_welfare_gain_vs_fixed_heuristic_std,relative_welfare_gain_vs_fixed_auction_mean,relative_welfare_gain_vs_fixed_auction_std,welfare_loss_vs_global_mean,welfare_loss_vs_global_std,relative_overhead_reduction_c_ample_vs_ample_mean,relative_overhead_reduction_c_ample_vs_ample_std
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,634.448269718391,175.89739913284728,0.8461675086224778,0.039763633536969996,0.15173009486336095,0.041253614186856226,0.00210239651416122,0.0029126959641509876,60.9473786224605,7.855970484330735,0.0826356322141402,0.01969612983592616,0.5698650849808473,0.06563980356162646,0.005698650849808473,0.0006563980356162647,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,-0.46044888034521936,0.09755318244125802,0.0,0.0,,0.0
stable_warehouse_load,Warehouse-M,fixed_auction,default,1168.5961965809956,207.02146091308225,0.6852732111176818,0.033170935804133966,0.31472678888231814,0.033170935804133966,0.0,0.0,63.72039131455479,18.399952003605033,0.0739441649887882,0.01907598456232879,0.6950867704290431,0.09151560461840355,0.006950867704290431,0.0009151560461840356,0.0076011067650113935,0.01699659143079797,1.1857726553417647,2.6514682632044906,,0.0,-0.005544734010021437,0.05180880419952353,,0.0,0.9012822869145156,0.334040513670632,0.0,0.0,0.0,0.0,,0.0
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,668.8724306043903,198.4094850458654,0.8535803774693399,0.04948614479187624,0.14549369660473427,0.050666044759270466,0.0009259259259259259,0.002070433312499805,56.22636778139351,11.89563220191,0.07281472101481687,0.01914622864630108,0.6514543223602232,0.05266923457362036,0.006514543223602232,0.0005266923457362035,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.05616801619653035,0.10499038289854441,-0.4339953022287529,0.08760403841359964,0.0,0.0,,0.0
stable_warehouse_load,Warehouse-M,ample_amr,default,1235.5868629436084,221.66713280145407,0.6942055737861212,0.03522133168366166,0.30579442621387865,0.03522133168366168,0.0,0.0,63.51016260746601,18.240519346444174,0.06499532590293858,0.019875179976687266,0.7146614490920911,0.12243645455512586,0.007146614490920911,0.0012243645455512584,0.0023908809408910905,0.005346172309940178,0.3705865458381086,0.8286567080407334,0.03222479880798273,0.10163093930042795,0.0335469104669289,0.18790804822126095,,0.0,1.01186375314677,0.3694101995368008,0.05714312312361434,0.017033698058101423,0.0,0.0,,0.0
stable_warehouse_load,Warehouse-M,c_ample_amr,default,1237.819350152243,220.55738607789533,0.6869061235375286,0.04212580818600645,0.31309387646247144,0.042125808186006426,0.0,0.0,60.669141124480994,15.009363595073907,0.06560625446375526,0.018760651151932862,1.5770715654070955,0.2784928716557186,0.015770715654070955,0.0027849287165571867,0.004194962420003981,0.009380221134185194,0.6669990247806237,1.4914551603354511,,0.0,0.05775799406590495,0.1994287209569705,,0.0,1.0161797640120824,0.37071072541755307,0.05914674740551122,0.009932187471010679,3.5472255799704726,6.2645829904537385,-1.2074394254122054,0.13263075962119789
stable_warehouse_load,Warehouse-M,random_modes_heuristic,default,702.293832578736,198.45391928969696,0.8502157841913295,0.052554398607831246,0.1488582898827446,0.053238511552386326,0.0009259259259259259,0.002070433312499805,61.76299216111369,8.847996866972805,0.08004181298617034,0.022076090198208824,0.5419055320817279,0.05301550024574986,0.005419055320817279,0.0005301550024574988,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.11094185890350095,0.08620252973548106,-0.4043824758818916,0.08931941075275708,0.0,0.0,,0.0
peak_warehouse_load,Warehouse-M,fixed_heuristic,default,957.7939421606923,320.19201586686415,0.8552911477426424,0.036455467111850735,0.13971534807853409,0.03730537231223116,0.004993504178823598,0.005290323583675344,78.62135184339547,13.809733091168379,0.15831988880775572,0.017278683094123493,1.0613747221779906,0.024861918274227495,0.010613747221779907,0.00024861918274227417,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,-0.5937793702831764,0.09137178839110273,0.0,0.0,,0.0
peak_warehouse_load,Warehouse-M,fixed_auction,default,2315.878892761359,262.23912112089994,0.6591059675594446,0.03563030059236572,0.3404085955473516,0.03619820663790557,0.0004854368932038835,0.001085469891990189,79.78779983205955,6.503371384436101,0.13030155374913077,0.020510214947242256,1.7085236934427583,0.1470561448500021,0.017085236934427588,0.0014705614485000214,0.0055649134257521864,0.006866857959669855,1.519791406463695,1.8993034263622874,-0.0030961049170693767,0.03686091293253762,0.05482680662819167,0.08188120531749649,0.04150866186531935,0.06770805255445657,1.5520399948441306,0.5107190102878081,0.0,0.0,0.0,0.0,,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,1131.117069740185,401.91875267443083,0.8653235894610214,0.040402423183765836,0.13220177735407462,0.041902598553877256,0.0024746331849040074,0.0035170356460856164,66.16889619263078,5.436345973437755,0.14152312815836693,0.019457733462202063,1.1764403595589101,0.03694600291669554,0.011764403595589102,0.0003694600291669555,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.1748518315686765,0.053045070172555324,-0.5211046369317678,0.11851381778654084,0.0,0.0,,0.0
peak_warehouse_load,Warehouse-M,ample_amr,default,2516.6719957168725,298.0772841671477,0.6865094407120143,0.04476935210051839,0.3134905592879857,0.044769352100518404,0.0,0.0,66.35288842309862,9.781372086874482,0.11444816763268888,0.01990360634955011,1.8381209059670156,0.0875211194593094,0.018381209059670153,0.0008752111945930936,0.0004621956247137391,0.0008940439625363249,0.11340408478974658,0.21295545910500893,0.26879223454990664,0.2979929131604883,0.009327806826776707,0.0813192185127266,,0.0,1.7731846238230602,0.5608242290302432,0.08627208136712819,0.01862073354154848,0.0,0.0,,0.0
peak_warehouse_load,Warehouse-M,c_ample_amr,default,2442.325737034419,299.9127055288614,0.6697906425910636,0.03622138959180217,0.3302093574089363,0.0362213895918022,0.0,0.0,65.50631633614125,14.119515509025264,0.11317024626503056,0.018116544258153434,4.205389188136905,0.2376539201513922,0.04205389188136906,0.002376539201513923,0.015810970920752145,0.026448808456041688,4.5201635109204705,7.674380475451528,0.01876239273489724,0.0359447648471861,0.08378614325316006,0.08574158308576577,-0.008241945737701657,0.0,1.6835691523500333,0.5060773862966224,0.05380718243481801,0.0193488991568273,74.34625868245367,83.70889230931573,-1.29057822100191,0.14277668951722502
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,1140.5018404386838,354.2056370297582,0.856247752398507,0.035383628467550624,0.1371951349271384,0.03741190989895365,0.006557112674354516,0.0037870175957867946,76.13269069571848,11.820518846352298,0.1483008352579145,0.019300634358148,1.0180421159344,0.027813161502691388,0.010180421159344002,0.00027813161502691295,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.19616062927523287,0.08497740088385844,-0.5162275887136569,0.09757117206873787,0.0,0.0,,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,863.6010918318909,252.04283266925452,0.8687118614999798,0.09131904175408803,0.13013871321266382,0.09188192213794072,0.0011494252873563218,0.002570193077585965,46.88986714085123,8.393513163188441,0.024221869547100323,0.005735960033754622,1.2949982055579312,0.163799837958447,0.012949982055579312,0.0016379983795844705,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,-0.31543600310449893,0.10428025722718363,0.0,0.0,,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_auction,default,1248.1838205406161,236.931004979705,0.7697191634980686,0.09238171739357545,0.23028083650193146,0.09238171739357548,0.0,0.0,70.48980792335858,28.048410215760708,0.02537544554957556,0.00418499956474446,1.2902688499889337,0.14277725563057114,0.012902688499889337,0.001427772556305711,3.3541773128011166e-16,7.9299255804723e-17,4.2144066014770945e-14,1.451584231676515e-14,0.09570057579485138,0.0,0.013221466172478718,0.11687004462516278,,0.0,0.49106627319648355,0.25045695642050947,0.0,0.0,0.0,0.0,,0.0
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,769.7097009151425,274.34477554990946,0.8636570044091771,0.08476976316374185,0.13634299559082286,0.08476976316374187,0.0,0.0,46.526098757060936,6.7004691524561375,0.025413450136186944,0.004321225102588432,1.2639668904739665,0.1075505677846137,0.012639668904739665,0.001075505677846137,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,-0.11640971287116642,0.10707767519877348,-0.39073703791200154,0.148107036239845,0.0,0.0,,0.0
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,1183.1137934116919,228.19117192754692,0.7400887985590056,0.08496280388276005,0.25991120144099444,0.08496280388276006,0.0,0.0,62.533749585862346,12.134279715289743,0.02492921780808758,0.005190578917909897,1.3388560547173256,0.203479379740702,0.013388560547173255,0.00203479379740702,4.0486176059237366e-16,1.4375811716730897e-16,4.716227408607665e-14,1.6471459766157233e-14,,0.0,-0.026793464411763696,0.054749479868270945,,0.0,0.4120619341426874,0.2352243503458742,-0.052670823865574354,0.012351481284861462,0.0,0.0,,0.0
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,1179.1492409126236,229.4967219926941,0.7400572092295707,0.09567345762584366,0.2599427907704293,0.09567345762584367,0.0,0.0,61.03008812713288,9.362693034366428,0.025207911972252965,0.0050451515030088216,2.866376078382018,0.33097338740205523,0.02866376078382018,0.003309733874020552,3.333833553465888e-16,1.506961533709842e-16,3.7836400679225336e-14,1.4561792860887976e-14,,0.0,0.11684597168132208,0.18358964562736532,,0.0,0.4062885956844746,0.22780756319504167,-0.05604669358566496,0.015318168635545549,4.993648508452679,6.282355819795642,-1.1513792369307876,0.10398361526372324
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,931.7978976698657,283.6240799066728,0.8725415546075641,0.08960026442327063,0.12630902010507958,0.09029591469510903,0.0011494252873563218,0.002570193077585965,44.80539649077743,7.293673834371968,0.022016728042479717,0.004797235100316231,1.2552494923875201,0.13900133587908872,0.012552494923875201,0.0013900133587908877,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.07835989175067695,0.05297217531633311,-0.2605741953275303,0.12956526499173499,0.0,0.0,,0.0
network_degradation,Warehouse-M,fixed_heuristic,default,99.99194247145445,243.98501673255637,0.8144382920579597,0.032533537759366085,0.18441228265468407,0.032959120208748104,0.0011494252873563218,0.002570193077585965,70.09485258804307,9.174681131574628,0.074388531117337,0.011706272629258108,0.5109181403531693,0.03182135980220372,0.005109181403531693,0.0003182135980220372,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,-0.9011583108813073,0.3032880050620172,0.0,0.0,,0.0
network_degradation,Warehouse-M,fixed_auction,default,794.2493462530152,131.83195854773072,0.5957183060277313,0.06552040972831154,0.40428169397226865,0.06552040972831157,0.0,0.0,59.55075651470598,13.134615521259585,0.05284625332327882,0.015009152846039962,0.4776367451995611,0.03377875756457484,0.004776367451995611,0.00033778757564574834,0.002424392457509485,0.005421106339128451,0.26425877786853064,0.590900590965003,,0.0,0.10439731381876574,0.20171250077303884,,0.0,4.8150421675252515,3.6219580310103514,0.0,0.0,0.0,0.0,,0.0
network_degradation,Warehouse-M,qmix_heuristic,default,184.72748794516838,254.11125186857643,0.8274204952279124,0.0426519874834697,0.16910449808938252,0.04185476995573389,0.003475006682705159,0.005192767222684419,65.43702915171112,8.955687528204505,0.06711713496236396,0.012571758341287206,0.5663517692300957,0.06304134854627995,0.005663517692300957,0.0006304134854627996,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.5557715978353127,0.7250354731028041,-0.7933115596015397,0.29230758245605876,0.0,0.0,,0.0
network_degradation,Warehouse-M,ample_amr,default,875.2410155574655,124.42395650950058,0.6295587411534226,0.058814930894812184,0.37044125884657747,0.05881493089481224,0.0,0.0,62.84638949885791,14.639080605089584,0.05042379996838529,0.013134375650266532,0.5406571263301885,0.03737534333088132,0.005406571263301884,0.00037375343330881293,0.002480902925966393,0.005547467588038445,0.2728993218563004,0.6102214346842304,,0.0,0.04867502566601674,0.1349761183067685,,0.0,5.38268030262712,3.992977537946498,0.10517589540136955,0.029577419332835943,0.0,0.0,,0.0
network_degradation,Warehouse-M,c_ample_amr,default,876.7506616017869,143.54231125784068,0.6149608872825792,0.04627376087840319,0.3850391127174207,0.04627376087840325,0.0,0.0,56.87273801032194,15.772017351608664,0.0480551273293217,0.013711345815842343,1.1325908450817224,0.11570176695024637,0.011325908450817223,0.0011570176695024632,0.0038821019595662943,0.00868064387717495,0.4386775214309882,0.9809127581207712,,0.0,0.06815323458914195,0.13094278307928153,,0.0,5.3657324498733345,3.968602440832024,0.10417309659893421,0.00889562018500131,6.458194042440482,8.860161552632132,-1.0916881737744677,0.08660004374760884
network_degradation,Warehouse-M,random_modes_heuristic,default,186.5958703968748,212.89616049380578,0.8187705734425081,0.029784680689969627,0.1800800012701355,0.030316091045843537,0.0011494252873563218,0.002570193077585965,66.20043061962186,4.688324996976478,0.0657514631476176,0.0121261382006961,0.4727172181446804,0.03914979595682397,0.004727172181446804,0.0003914979595682397,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.28684873167360986,0.7264899441262805,-0.7875496063946399,0.2407150073141092,0.0,0.0,,0.0
edge_node_failures,Warehouse-M,fixed_heuristic,default,564.4315569713594,213.6135676328102,0.8331198846369059,0.024346902191366596,0.16340510868038902,0.025349168320386972,0.003475006682705159,0.005192767222684419,72.47658170246851,12.722482052010879,0.08145098712720795,0.01599447158434898,0.49012655101250857,0.03710890016901182,0.0049012655101250855,0.0003710890016901181,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,-0.45129884443062557,0.1279979694848327,0.0,0.0,,0.0
edge_node_failures,Warehouse-M,fixed_auction,default,1004.9970755297763,184.13131314232126,0.6788556696655972,0.03696059225285918,0.3211443303344028,0.03696059225285915,0.0,0.0,66.15455927236607,16.355257622185203,0.06555395067459435,0.016535682403804992,0.5191768670192687,0.05371978792383368,0.005191768670192687,0.0005371978792383368,0.00221445741264848,0.003037008113581822,0.24271875435241444,0.34034075912490347,-0.038937382242125465,0.0,0.16780270507479372,0.25790142517771686,,0.0,0.9121142366310131,0.48575005391433035,0.0,0.0,0.0,0.0,,0.0
edge_node_failures,Warehouse-M,qmix_heuristic,default,608.85431788764,225.19313836109376,0.8409666335113949,0.024781605801480287,0.1543955691082255,0.02481315048575589,0.004637797380379578,0.007577963711605876,63.352641780286504,9.900953448387178,0.07151944216842979,0.012320006024028343,0.5896054602635559,0.02496169788082374,0.005896054602635559,0.0002496169788082376,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0815614468743874,0.059177484757062984,-0.40613652752661666,0.1483238771774458,0.0,0.0,,0.0
edge_node_failures,Warehouse-M,ample_amr,default,1061.1784444308273,185.68471917435838,0.6952055514929579,0.04433156123890838,0.304794448507042,0.04433156123890836,0.0,0.0,58.73906219645839,14.06714728118386,0.06008853632450521,0.015997174595755916,0.6379992704751203,0.05498657476268802,0.006379992704751203,0.0005498657476268802,0.00011426927236994665,0.0002555138607580573,0.012341081415955912,0.027595496961869255,,0.0,0.017808979268518273,0.11906228860588781,,0.0,1.0253719281754148,0.5391734604195848,0.05695896740971779,0.023086207257155673,0.0,0.0,,0.0
edge_node_failures,Warehouse-M,c_ample_amr,default,1067.9226490828464,189.16968236581724,0.6930054370672196,0.05093503836046538,0.3069945629327803,0.05093503836046538,0.0,0.0,54.45523137434411,13.823884392483693,0.058583159127417336,0.01465552714635466,1.2284012277814327,0.09640789553807945,0.012284012277814328,0.0009640789553807941,2.964353197453598e-16,9.653084134931815e-17,3.299582829185965e-14,1.111731902598383e-14,,0.0,0.03170950891263617,0.06257747707581968,,0.0,1.0370774718492237,0.5408697388331651,0.06338277582784482,0.01487563094408979,4.596884744618501,10.27894677369873,-0.9330915585626413,0.17222282713007928
edge_node_failures,Warehouse-M,random_modes_heuristic,default,585.1212298864993,228.8623134167435,0.8446211313756203,0.02346863108478067,0.153066652639349,0.02393487632122832,0.0023122159850307404,0.003166220287588567,65.31506390853251,5.106541538243857,0.07532997086089051,0.014703740331065532,0.47454509483941365,0.04252013249870231,0.004745450948394137,0.0004252013249870231,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.031177679732813695,0.03796437073507163,-0.4311865281380075,0.14835088617079178,0.0,0.0,,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,847.484127710471,142.4229802802611,0.8514973064781625,0.055181081830440785,0.14850269352183756,0.055181081830440785,0.0,0.0,59.041325461182296,6.174595158020812,0.05445777703253735,0.010073825003041248,2.193545507422338,0.22019132811523967,0.02193545507422338,0.002201913281152399,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,-0.36231794600033634,0.07847974103115805,0.0,0.0,,0.0
scalability_sweep,Warehouse-L,fixed_auction,default,1331.1307112239297,171.82185704908673,0.7226230592207112,0.054216268679094,0.2773769407792887,0.05421626867909402,0.0,0.0,60.30458952204411,11.894512919438553,0.04977162646467319,0.012017984224296526,2.390934842793892,0.34797927415687624,0.023909348427938917,0.003479792741568764,5.464299250455507e-16,1.5917489671587237e-16,7.931433287922118e-14,3.054320194399628e-14,-0.03264558504024008,0.0,-0.01859724767732117,0.06591519924109784,,0.0,0.5870320655064554,0.19183043174255418,0.0,0.0,0.0,0.0,,0.0
