scenario,scenario_size,method,mode_profile,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,payment_robot_sum,payment_task_sum,node_compensation_sum,average_externality,externality_mean,externality_p95,externality_max,externality_utilization_corr,externality_latency_corr,externality_queue_corr,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global,relative_welfare_gain_vs_fixed_heuristic,relative_welfare_gain_vs_fixed_auction,relative_overhead_reduction_c_ample_vs_ample
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,634.448269718391,158.6,187.0,0.8461675086224778,0.15173009486336095,0.00210239651416122,21.08810782486945,60.9473786224605,0.0826356322141402,0.11870338582199562,0.0,0.5698650849808473,0.0,0.5698650849808473,0.005698650849808473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.4570851149656149,
stable_warehouse_load,Warehouse-M,fixed_auction,default,1168.5961965809956,128.2,187.0,0.6852732111176818,0.31472678888231814,0.0,22.56837984694748,63.72039131455479,0.0739441649887882,0.11120273426115539,0.0,0.6950867704290431,0.0,0.6950867704290431,0.006950867704290431,1.1857726553417647,1.1857726553417647,1.1857726553417647,220.83037229763872,0.0076011067650113935,0.0076011067650113935,3.07309733216243e-15,1.185772655341708,,-0.005544734010021437,,0.0,0.0,0.0,0.0,0.8419093444760972,0.0,
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,668.8724306043903,160.0,187.0,0.8535803774693399,0.14549369660473427,0.0009259259259259259,18.159289251570723,56.22636778139351,0.07281472101481687,0.10720768133722183,0.0,0.5874586050776998,0.0639957172825234,0.6514543223602232,0.006514543223602232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.05425842031420302,-0.427627410938582,
stable_warehouse_load,Warehouse-M,ample_amr,default,1235.5868629436084,129.8,187.0,0.6942055737861212,0.30579442621387865,0.0,19.381252028050273,63.51016260746601,0.06499532590293858,0.09774603499462092,0.0,0.6421977949503344,0.0724636541417567,0.7146614490920911,0.007146614490920911,0.3705865458381086,0.3705865458381086,0.3705865458381086,248.77165889999588,0.0023908809408910905,0.0023908809408910905,2.842170943040401e-15,0.29093370292584775,0.03222479880798273,0.0335469104669289,,0.0,0.0,0.0,0.0,0.9474981994860533,0.05732576107864269,
stable_warehouse_load,Warehouse-M,c_ample_amr,default,1237.819350152243,128.6,187.0,0.6869061235375286,0.31309387646247144,0.0,20.098831661025454,60.669141124480994,0.06560625446375526,0.09964958933353228,0.0,1.4845438428892521,0.09252772251784336,1.5770715654070955,0.015770715654070955,0.6669990247806237,0.6669990247806237,0.6669990247806237,249.21654762676752,0.004194962420003981,0.004194962420003981,2.6645352591003757e-15,0.6669990247805793,,0.05775799406590495,,0.9349999999999999,2.3,0.056616042164431925,0.0,0.9510169847285848,0.059236161964052333,-1.2067393832570847
stable_warehouse_load,Warehouse-M,random_modes_heuristic,default,702.293832578736,159.2,187.0,0.8502157841913295,0.1488582898827446,0.0009259259259259259,20.318178306120227,61.76299216111369,0.08004181298617034,0.11546649212443469,0.8,0.5419055320817279,0.0,0.5419055320817279,0.005419055320817279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.10693631947401991,-0.3990277953723771,
peak_warehouse_load,Warehouse-M,fixed_heuristic,default,957.7939421606923,338.2,395.4,0.8552911477426424,0.13971534807853409,0.004993504178823598,24.592961675490066,78.62135184339547,0.15831988880775572,0.16292410524289538,0.0,1.0613747221779906,0.0,1.0613747221779906,0.010613747221779907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.5864231306937393,
peak_warehouse_load,Warehouse-M,fixed_auction,default,2315.878892761359,260.8,395.4,0.6591059675594446,0.3404085955473516,0.0004854368932038835,23.562129193905196,79.78779983205955,0.13030155374913077,0.13549759769581898,0.0,1.7085236934427583,0.0,1.7085236934427583,0.017085236934427588,1.519791406463695,1.519791406463695,1.519791406463695,418.5155066921219,0.0055649134257521864,0.0055649134257521864,7.105427357601002e-15,0.5812056816259442,-0.0030961049170693767,0.05482680662819167,0.04150866186531935,0.0,0.0,0.0,0.0,1.417930194397509,0.0,
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,1131.117069740185,342.2,395.4,0.8653235894610214,0.13220177735407462,0.0024746331849040074,20.584442454362677,66.16889619263078,0.14152312815836693,0.14901819223718973,0.0,1.1116109170123107,0.06482944254659943,1.1764403595589101,0.011764403595589102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.1809607682300559,-0.5115819427018969,
peak_warehouse_load,Warehouse-M,ample_amr,default,2516.6719957168725,271.6,395.4,0.6865094407120143,0.3134905592879857,0.0,19.13959870578955,66.35288842309862,0.11444816763268888,0.126632375770727,0.0,1.7636417329777032,0.07447917298931214,1.8381209059670156,0.018381209059670153,0.11340408478974658,0.11340408478974658,0.11340408478974658,485.7168416072429,0.0004621956247137391,0.0004621956247137391,8.526512829121202e-15,0.10152358817122006,0.26879223454990664,0.009327806826776707,,0.0,0.0,0.0,0.0,1.6275714273568063,0.08670276480481064,
