scenario,scenario_size,method,mode_profile,social_welfare,completion_rate,drop_rate,p95_latency_ms,externality_mean,externality_p95,externality_max,payment_robot_sum,payment_task_sum,total_decision_overhead_ms
clustered_vs_global,Warehouse-L,ample_amr,default,436.09212385844273,0.7872340425531915,0.2127659574468085,69.99986185384387,3.3606751015680416e-16,3.552713678800501e-15,3.552713678800501e-15,1.2434497875801752e-14,1.2434497875801752e-14,3.374635397146146
clustered_vs_global,Warehouse-L,c_ample_amr,default,428.7285890079009,0.7659574468085106,0.2340425531914893,52.23419460797348,9.005142310848492e-16,4.440892098500626e-15,7.105427357601002e-15,3.241851231905457e-14,3.241851231905457e-14,8.144225886402031
clustered_vs_global,Warehouse-L,fixed_heuristic,default,395.80282231411667,0.8085106382978723,0.1914893617021276,58.802580795261335,0.0,0.0,0.0,0.0,0.0,2.6103403652086854
clustered_vs_global,Warehouse-L,fixed_vcg,default,395.80282231411667,0.8085106382978723,0.1914893617021276,58.802580795261335,1.8698493046318422e-16,5.329070518200701e-16,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,3.5824269289150834
clustered_vs_global,Warehouse-L,qmix_heuristic,default,436.09212385844273,0.7872340425531915,0.2127659574468085,69.99986185384387,0.0,0.0,0.0,0.0,0.0,2.579041717884442
edge_node_failures,Warehouse-M,ample_amr,default,164.6483599797519,0.6521739130434783,0.3478260869565217,25.481031237249017,9.473903143468002e-16,4.6185277824406474e-15,7.105427357601002e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.6290276845296224
edge_node_failures,Warehouse-M,c_ample_amr,default,164.50300723545328,0.6521739130434783,0.3478260869565217,44.022412638368195,2.3684757858670006e-16,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,1.175989358065029
edge_node_failures,Warehouse-M,fixed_heuristic,default,157.30570739901697,0.6521739130434783,0.3478260869565217,32.780530104286264,0.0,0.0,0.0,0.0,0.0,0.459930549065272
edge_node_failures,Warehouse-M,fixed_vcg,default,157.30570739901697,0.6521739130434783,0.3478260869565217,32.780530104286264,2.3684757858670006e-16,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,0.5249168801431855
edge_node_failures,Warehouse-M,qmix_heuristic,default,164.6483599797519,0.6521739130434783,0.3478260869565217,25.481031237249017,0.0,0.0,0.0,0.0,0.0,0.5185276580353578
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,208.2739672297437,0.7391304347826086,0.2608695652173913,122.69410161130588,3.134747363647501e-16,2.1316282072802993e-15,3.552713678800501e-15,5.3290705182007506e-15,5.3290705182007506e-15,1.3025556690990925
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,170.10164876382925,0.6521739130434783,0.3478260869565217,74.0520214909466,6.513308411134251e-16,2.3092638912203237e-15,3.552713678800501e-15,9.769962616701378e-15,9.769962616701378e-15,2.6220068878804645
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,190.18239302927023,0.7391304347826086,0.2608695652173913,143.1431185465235,0.0,0.0,0.0,0.0,0.0,1.1354339464257162
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,190.18239302927023,0.7391304347826086,0.2608695652173913,143.1431185465235,3.134747363647501e-16,2.1316282072802993e-15,3.552713678800501e-15,5.3290705182007506e-15,5.3290705182007506e-15,1.2641632153342168
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,208.2739672297437,0.7391304347826086,0.2608695652173913,122.69410161130588,0.0,0.0,0.0,0.0,0.0,1.2888646839807432
network_degradation,Warehouse-M,ample_amr,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,6.661338147750939e-16,4.440892098500626e-15,7.105427357601002e-15,1.0658141036401504e-14,1.0658141036401504e-14,0.619458306270341
network_degradation,Warehouse-M,c_ample_amr,default,160.42802638244262,0.6086956521739131,0.391304347826087,33.3802482783815,0.0,0.0,0.0,0.0,0.0,1.1297081364318728
network_degradation,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,0.0,0.0,0.0,0.0,0.0,0.5119026949008306
network_degradation,Warehouse-M,fixed_vcg,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,2.960594732333751e-17,1.332267629550183e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.5437708459794521
network_degradation,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,0.0,0.0,0.0,0.0,0.0,0.5662260033811132
peak_warehouse_load,Warehouse-M,ample_amr,default,161.55163563000198,0.7619047619047619,0.238095238095238,20.777514858620066,6.661338147750939e-16,4.440892098500626e-15,7.105427357601002e-15,1.0658141036401504e-14,1.0658141036401504e-14,0.6052605264509717
peak_warehouse_load,Warehouse-M,c_ample_amr,default,160.2986431038641,0.6666666666666666,0.3333333333333333,33.3802482783815,1.2688263138573214e-16,6.21724893790087e-16,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.1411320495729644
peak_warehouse_load,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.7142857142857143,0.2857142857142857,56.660932126921054,0.0,0.0,0.0,0.0,0.0,0.4348543006926775
peak_warehouse_load,Warehouse-M,fixed_vcg,default,154.4637413255238,0.7142857142857143,0.2857142857142857,56.660932126921054,2.960594732333751e-17,1.332267629550183e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.4897187075888117
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.7619047619047619,0.238095238095238,20.777514858620066,0.0,0.0,0.0,0.0,0.0,0.5630209731558958
scalability_sweep,Warehouse-L,ample_amr,default,355.3053301285987,0.75,0.25,44.28625796429936,2.6645352591003756e-16,4.884981308350665e-16,7.105427357601002e-15,7.993605777301127e-15,7.993605777301127e-15,2.802930772304535
scalability_sweep,Warehouse-L,c_ample_amr,default,361.41183321526984,0.75,0.25,43.23461658030902,7.253457094217689e-16,2.7533531010703828e-15,1.4210854715202004e-14,2.1760371282653068e-14,2.1760371282653068e-14,6.824500121486683
scalability_sweep,Warehouse-L,fixed_heuristic,default,315.30826675706345,0.75,0.25,46.12402684568908,0.0,0.0,0.0,0.0,0.0,2.228093760398527
