size_name,training_scenario,episode,reward,loss,epsilon
Warehouse-M+,stable_warehouse_load,11.0,1246.865032306091,90076038856704.0,0.392
Warehouse-M+,stable_warehouse_load,12.0,1482.4056808635905,102039102036377.6,0.3413333333333334
Warehouse-M+,stable_warehouse_load,13.0,2060.5379872946924,94887804921446.4,0.29066666666666663
Warehouse-M+,stable_warehouse_load,14.0,1448.3427134407873,147902814093312.0,0.24
Warehouse-M+,stable_warehouse_load,15.0,1882.7332108263229,147151304510668.8,0.18933333333333335
Warehouse-M+,stable_warehouse_load,16.0,1792.4507071269388,173721709130547.2,0.13866666666666672
Warehouse-M+,stable_warehouse_load,17.0,1754.567785675214,270866680014438.4,0.08800000000000008
Warehouse-M+,stable_warehouse_load,18.0,1501.0611230271686,147601530368819.2,0.050000000000000044
Warehouse-M+,stable_warehouse_load,19.0,1691.13069146206,234145425444044.8,0.050000000000000044
Warehouse-M+,stable_warehouse_load,20.0,1386.4464309868076,131443977486336.0,0.050000000000000044
Warehouse-M+,stable_warehouse_load,21.0,819.8265930114965,160620734434508.8,0.050000000000000044
Warehouse-M+,stable_warehouse_load,22.0,1187.4646001668345,189719070546329.6,0.050000000000000044
Warehouse-M+,stable_warehouse_load,23.0,1826.0468414322045,174515199855820.8,0.050000000000000044
Warehouse-S,stable_warehouse_load,0.0,1175.2728619237473,2770786997143.5103,0.9493333333333334
Warehouse-S,stable_warehouse_load,1.0,694.8319361760832,16123387581235.2,0.8986666666666667
Warehouse-S,stable_warehouse_load,2.0,966.9547037380966,39674894768537.6,0.848
Warehouse-S,stable_warehouse_load,3.0,951.3660784547667,33747798222438.4,0.7973333333333333
Warehouse-S,stable_warehouse_load,4.0,781.2339519282202,40381193909043.2,0.7466666666666667
Warehouse-S,stable_warehouse_load,5.0,840.0724163659802,40294908765798.4,0.696
Warehouse-S,stable_warehouse_load,6.0,986.4176501567762,43787348992000.0,0.6453333333333333
Warehouse-S,stable_warehouse_load,7.0,940.6238190037232,39232490343628.8,0.5946666666666667
Warehouse-S,stable_warehouse_load,8.0,1288.7433694911106,45416795940454.4,0.544
Warehouse-S,stable_warehouse_load,9.0,1066.887644387633,51013031919616.0,0.4933333333333334
Warehouse-S,stable_warehouse_load,10.0,963.9025571233972,56789170919833.6,0.44266666666666665
Warehouse-S,stable_warehouse_load,11.0,995.3526232979201,79400578734489.6,0.392
Warehouse-S,stable_warehouse_load,12.0,1095.2415760816616,94809566347264.0,0.3413333333333334
Warehouse-S,stable_warehouse_load,13.0,1015.8945293515096,107523343404236.8,0.29066666666666663
Warehouse-S,stable_warehouse_load,14.0,655.1453895027641,118708012954419.2,0.24
Warehouse-S,stable_warehouse_load,15.0,705.2035807707117,81136266949427.2,0.18933333333333335
Warehouse-S,stable_warehouse_load,16.0,1369.3449189689175,93604595433472.0,0.13866666666666672
Warehouse-S,stable_warehouse_load,17.0,1006.1243672279745,72446833691852.8,0.08800000000000008
Warehouse-S,stable_warehouse_load,18.0,1052.7396038185384,83173349530009.6,0.050000000000000044
Warehouse-S,stable_warehouse_load,19.0,1076.0584573832941,82077318922240.0,0.050000000000000044
Warehouse-S,stable_warehouse_load,20.0,861.7415203120429,62168645815500.8,0.050000000000000044
Warehouse-S,stable_warehouse_load,21.0,1064.626034049698,79640613401395.2,0.050000000000000044
Warehouse-S,stable_warehouse_load,22.0,1257.3578365221213,84624661420441.6,0.050000000000000044
Warehouse-S,stable_warehouse_load,23.0,1334.3793012191047,91694987093606.4,0.050000000000000044
Warehouse-XL,stable_warehouse_load,0.0,5286.441210734348,50333865268.244896,0.9493333333333334
Warehouse-XL,stable_warehouse_load,1.0,5728.511322454083,574157523948.8,0.8986666666666667
Warehouse-XL,stable_warehouse_load,2.0,5803.287758126629,794486122329.6,0.848
Warehouse-XL,stable_warehouse_load,3.0,6007.708444728574,1116232304998.4,0.7973333333333333
Warehouse-XL,stable_warehouse_load,4.0,6108.229419643086,1735540886579.2,0.7466666666666667
Warehouse-XL,stable_warehouse_load,5.0,6027.820679537272,2948480952934.4,0.696
Warehouse-XL,stable_warehouse_load,6.0,6037.452676743524,2753810067200.0,0.6453333333333333
Warehouse-XL,stable_warehouse_load,7.0,5394.020950534735,1897872451481.6,0.5946666666666667
Warehouse-XL,stable_warehouse_load,8.0,6173.289838454217,2645025210777.6,0.544
Warehouse-XL,stable_warehouse_load,9.0,6197.389942244589,2347098299187.2,0.4933333333333334
Warehouse-XL,stable_warehouse_load,10.0,5499.007340079381,3163758078771.2,0.44266666666666665
Warehouse-XL,stable_warehouse_load,11.0,6217.618040956617,2294311863910.4,0.392
Warehouse-XL,stable_warehouse_load,12.0,6567.446770195318,3965191046758.4,0.3413333333333334
Warehouse-XL,stable_warehouse_load,13.0,6186.701822681206,2156356793856.0,0.29066666666666663
Warehouse-XL,stable_warehouse_load,14.0,5787.793447339376,1714992200089.6,0.24
Warehouse-XL,stable_warehouse_load,15.0,5858.104892679131,1634858511974.4,0.18933333333333335
Warehouse-XL,stable_warehouse_load,16.0,5680.124276450469,1022563925606.4,0.13866666666666672
Warehouse-XL,stable_warehouse_load,17.0,5922.537965503534,1224223507456.0,0.08800000000000008
Warehouse-XL,stable_warehouse_load,18.0,6144.251235350064,1385096664064.0,0.050000000000000044
Warehouse-XL,stable_warehouse_load,19.0,6090.49559622499,1221378452275.2,0.050000000000000044
Warehouse-XL,stable_warehouse_load,20.0,6343.124131245929,1363940109312.0,0.050000000000000044
Warehouse-XL,stable_warehouse_load,21.0,6468.866371911268,1229766436864.0,0.050000000000000044
Warehouse-XL,stable_warehouse_load,22.0,5864.932834260361,982415899033.6,0.050000000000000044
Warehouse-XL,stable_warehouse_load,23.0,6388.876258579678,800270242816.0,0.050000000000000044
