scenario,scenario_size,method,mode_profile,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,payment_robot_sum,payment_task_sum,node_compensation_sum,average_externality,externality_mean,externality_p95,externality_max,externality_utilization_corr,externality_latency_corr,externality_queue_corr,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global,relative_welfare_gain_vs_fixed_heuristic,relative_welfare_gain_vs_fixed_auction,relative_overhead_reduction_c_ample_vs_ample
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,aggressive_bias,520.6299593080619,124.0,144.6,0.8567826412682656,0.14321735873173438,0.0,21.767116635075435,69.80233274273282,0.07554782042160643,0.10968959500752136,0.0,0.5362562002015434,0.0,0.5362562002015434,0.0053625620020154325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.43794504701655373,
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,conservative,430.24583933248795,120.8,144.6,0.8341200186525345,0.16186987655704632,0.004010104790419162,24.80764429168446,71.97421106872824,0.08003449270192495,0.11768666491772688,0.0,0.45749032096604686,0.0,0.45749032096604686,0.004574903209660469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.5042683872306084,
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,default,501.0291795686955,122.4,144.6,0.8462831422716064,0.1500192529379743,0.003697604790419162,22.796421091379624,65.35368539678278,0.07767999179425034,0.11081720678360014,0.0,0.5107312684413046,0.0,0.5107312684413046,0.0051073126844130455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.4463704266856328,
sensitivity_operation_modes,Warehouse-M,fixed_auction,aggressive_bias,926.2972535772593,100.6,144.6,0.6953284507188832,0.3046715492811169,0.0,20.96437970840083,63.847573883898825,0.06348107309940179,0.09561692563383468,0.0,0.5629937966088099,0.0,0.5629937966088099,0.005629937966088099,0.024267271388279978,0.024267271388279978,0.024267271388279978,179.6219558057969,0.00025278407696123007,0.00025278407696123007,2.220446049250313e-15,0.024267271388241342,-0.040014429542987395,0.10416895470020013,,0.0,0.0,0.0,0.0,0.7791854598770028,0.0,
sensitivity_operation_modes,Warehouse-M,fixed_auction,conservative,867.9007516364165,97.4,144.6,0.6731226350774386,0.3256273649225613,0.00125,24.341668398981216,79.71583257726729,0.06894856162305107,0.102725790478758,0.0,0.4854035809902208,0.0,0.4854035809902208,0.004854035809902209,2.8554936193359025e-14,2.8554936193359025e-14,2.8554936193359025e-14,177.16470696225696,2.8459792071663695e-16,2.8459792071663695e-16,2.1316282072803005e-15,4.263256414560601e-15,-0.036639812435355995,-0.09363970142212616,,0.0,0.0,0.0,0.0,1.017220556933068,0.0,
sensitivity_operation_modes,Warehouse-M,fixed_auction,default,904.9899133263901,99.2,144.6,0.6847770468421446,0.3152229531578554,0.0,23.024457802372986,70.36170418482257,0.06606850947207465,0.09837119070963371,0.0,0.5333796475315467,0.0,0.5333796475315467,0.005333796475315467,4.1877612488860903e-14,4.1877612488860903e-14,4.1877612488860903e-14,180.75162127729735,4.2022534269740606e-16,4.2022534269740606e-16,2.842170943040401e-15,5.684341886080802e-15,,0.07431512058635306,,0.0,0.0,0.0,0.0,0.8062618909849503,0.0,
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,aggressive_bias,544.2156424816629,124.4,144.6,0.8584508456349333,0.14154915436506665,0.0,18.560968702267225,62.77646564967371,0.06422460005346216,0.09389108433652935,0.0,0.5459504729203347,0.07268320245202631,0.618633675372361,0.00618633675372361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.04530220121206123,-0.41248272044426204,
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,conservative,484.7482774582475,123.0,144.6,0.8496949183184433,0.14634737210071835,0.003957709580838324,21.690295467247317,67.72995720814417,0.07238778539732374,0.10821804028933266,0.0,0.48014354675875176,0.068562264870187,0.5487058116289388,0.005487058116289388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.12667743216370966,-0.4414703794826074,
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,default,511.6065621252981,124.6,144.6,0.860921422529273,0.13788097268030783,0.0011976047904191617,18.845380627326193,56.28712753224197,0.06557262201642977,0.09741849932911499,0.0,0.5165302398381755,0.05516404809895903,0.5716942879371345,0.005716942879371345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.021111310454429086,-0.43468258088664014,
sensitivity_operation_modes,Warehouse-M,ample_amr,aggressive_bias,976.9992902096319,103.4,144.6,0.714777370392904,0.285222629607096,0.0,19.900389757046874,66.3019010409806,0.06088988133252808,0.09007880922429454,0.0,0.58173570274708,0.07182962011678942,0.6535653228638694,0.006535653228638694,0.8104543239156982,0.8104543239156982,0.8104543239156982,215.10970954707767,0.008024300236789076,0.008024300236789076,2.7888802378583914e-15,0.8104543239156495,,0.06751319578314527,,0.0,0.0,0.0,0.0,0.8765713972897434,0.054736248473766756,
