scenario,scenario_size,method,mode_profile,mode_safe,mode_normal,mode_aggressive,mode_reserve,mode_critical,mode_safe_share,mode_normal_share,mode_aggressive_share,mode_reserve_share,mode_critical_share
scalability_sweep,Warehouse-L,ample_amr,default,0.0,0.0,0.0,0.0033333333333333335,9.996666666666666,0.0,0.0,0.0,0.0003333333333333334,0.9996666666666666
scalability_sweep,Warehouse-L,c_ample_amr,default,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0
scalability_sweep,Warehouse-L,random_modes_heuristic,default,1.9066666666666667,2.066666666666667,1.9933333333333334,2.08,1.9533333333333334,0.19066666666666668,0.2066666666666667,0.19933333333333333,0.20800000000000002,0.19533333333333333
scalability_sweep,Warehouse-M,fixed_heuristic,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,fixed_auction,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,qmix_heuristic,default,0.0,3.816666666666667,0.56,0.03,0.5933333333333334,0.0,0.7633333333333332,0.11199999999999999,0.005999999999999998,0.11866666666666666
scalability_sweep,Warehouse-M,ample_amr,default,0.0,3.6133333333333333,0.69,0.006666666666666667,0.69,0.0,0.7226666666666667,0.13799999999999998,0.0013333333333333335,0.13799999999999998
scalability_sweep,Warehouse-M,c_ample_amr,default,0.0,3.6633333333333336,0.7,0.02666666666666667,0.61,0.0,0.7326666666666667,0.13999999999999999,0.005333333333333334,0.122
scalability_sweep,Warehouse-M,random_modes_heuristic,default,0.97,1.1066666666666667,1.0333333333333334,0.9866666666666667,0.9033333333333333,0.194,0.22133333333333333,0.2066666666666667,0.19733333333333333,0.18066666666666667
scalability_sweep,Warehouse-M+,fixed_heuristic,default,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M+,fixed_auction,default,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M+,qmix_heuristic,default,0.11333333333333333,0.01,0.0,12.876666666666667,0.0,0.008717948717948718,0.0007692307692307692,0.0,0.9905128205128205,0.0
scalability_sweep,Warehouse-M+,ample_amr,default,0.14333333333333334,0.013333333333333334,0.0,12.84,0.0033333333333333335,0.011025641025641027,0.0010256410256410256,0.0,0.9876923076923076,0.0002564102564102564
scalability_sweep,Warehouse-M+,c_ample_amr,default,0.14,0.006666666666666667,0.0,12.85,0.0033333333333333335,0.01076923076923077,0.0005128205128205128,0.0,0.9884615384615384,0.0002564102564102564
scalability_sweep,Warehouse-M+,random_modes_heuristic,default,2.5033333333333334,2.71,2.57,2.6666666666666665,2.55,0.19256410256410256,0.20846153846153845,0.19769230769230767,0.20512820512820512,0.19615384615384615
scalability_sweep,Warehouse-S,fixed_heuristic,default,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,fixed_auction,default,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-S,qmix_heuristic,default,0.0,0.04,3.96,0.0,0.0,0.0,0.01,0.99,0.0,0.0
scalability_sweep,Warehouse-S,ample_amr,default,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scalability_sweep,Warehouse-S,c_ample_amr,default,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
scalability_sweep,Warehouse-S,random_modes_heuristic,default,0.82,0.8366666666666667,0.82,0.8,0.7233333333333334,0.205,0.20916666666666667,0.205,0.2,0.18083333333333335
scalability_sweep,Warehouse-XL,fixed_heuristic,default,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,fixed_auction,default,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
scalability_sweep,Warehouse-XL,qmix_heuristic,default,0.25,17.096666666666668,1.8533333333333333,0.023333333333333334,0.7766666666666666,0.0125,0.8548333333333333,0.09266666666666666,0.0011666666666666668,0.03883333333333333
scalability_sweep,Warehouse-XL,ample_amr,default,0.0,16.74,2.3366666666666664,0.016666666666666666,0.9066666666666666,0.0,0.8370000000000001,0.11683333333333334,0.0008333333333333335,0.04533333333333334
scalability_sweep,Warehouse-XL,c_ample_amr,default,0.0,16.636666666666667,2.36,0.006666666666666667,0.9966666666666667,0.0,0.8318333333333333,0.118,0.0003333333333333334,0.049833333333333334
scalability_sweep,Warehouse-XL,random_modes_heuristic,default,3.9233333333333333,4.173333333333333,3.9633333333333334,3.9166666666666665,4.023333333333333,0.19616666666666666,0.20866666666666664,0.19816666666666666,0.19583333333333333,0.20116666666666666
clustered_vs_global,Warehouse-L,fixed_heuristic,default,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
clustered_vs_global,Warehouse-L,fixed_auction,default,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
clustered_vs_global,Warehouse-L,qmix_heuristic,default,0.0,0.0,0.19142857142857142,0.0,9.808571428571428,0.0,0.0,0.019142857142857142,0.0,0.9808571428571428
clustered_vs_global,Warehouse-L,ample_amr,default,0.0,0.0,0.0,0.002857142857142857,9.997142857142856,0.0,0.0,0.0,0.00028571428571428574,0.9997142857142857
clustered_vs_global,Warehouse-L,c_ample_amr,default,0.0,0.0,0.0,0.002857142857142857,9.997142857142856,0.0,0.0,0.0,0.00028571428571428574,0.9997142857142857
clustered_vs_global,Warehouse-L,random_modes_heuristic,default,1.917142857142857,2.0942857142857143,1.977142857142857,2.057142857142857,1.9542857142857142,0.1917142857142857,0.20942857142857144,0.1977142857142857,0.20571428571428568,0.19542857142857142
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,aggressive_bias,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,conservative,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_auction,aggressive_bias,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_auction,conservative,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,fixed_auction,default,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,aggressive_bias,0.0,3.6285714285714286,0.7342857142857143,0.04,0.5971428571428572,0.0,0.7257142857142858,0.14685714285714285,0.008,0.11942857142857144
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,conservative,0.0,3.6542857142857144,0.66,0.025714285714285714,0.66,0.0,0.7308571428571429,0.132,0.005142857142857143,0.132
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,default,0.0,3.8057142857142856,0.6771428571428572,0.017142857142857144,0.5,0.0,0.7611428571428571,0.13542857142857143,0.003428571428571429,0.1
sensitivity_operation_modes,Warehouse-M,ample_amr,aggressive_bias,0.0,3.54,0.9257142857142857,0.008571428571428572,0.5257142857142857,0.0,0.7079999999999999,0.1851428571428571,0.001714285714285714,0.10514285714285712
sensitivity_operation_modes,Warehouse-M,ample_amr,conservative,0.0,3.388571428571429,0.88,0.002857142857142857,0.7285714285714285,0.0,0.6777142857142857,0.176,0.0005714285714285715,0.1457142857142857
sensitivity_operation_modes,Warehouse-M,ample_amr,default,0.0,3.4457142857142857,0.8828571428571429,0.011428571428571429,0.66,0.0,0.6891428571428572,0.17657142857142857,0.002285714285714286,0.132
sensitivity_operation_modes,Warehouse-M,c_ample_amr,aggressive_bias,0.0,3.4314285714285715,0.8371428571428572,0.011428571428571429,0.72,0.0,0.6862857142857143,0.16742857142857143,0.002285714285714286,0.144
sensitivity_operation_modes,Warehouse-M,c_ample_amr,conservative,0.0,3.3771428571428572,0.8857142857142857,0.005714285714285714,0.7314285714285714,0.0,0.6754285714285715,0.17714285714285713,0.001142857142857143,0.1462857142857143
sensitivity_operation_modes,Warehouse-M,c_ample_amr,default,0.0,3.4857142857142858,0.8971428571428571,0.017142857142857144,0.6,0.0,0.6971428571428573,0.17942857142857147,0.0034285714285714293,0.12000000000000002
sensitivity_operation_modes,Warehouse-M,random_modes_heuristic,aggressive_bias,0.9742857142857143,1.0657142857142856,1.042857142857143,0.9828571428571429,0.9342857142857143,0.19485714285714287,0.21314285714285713,0.20857142857142857,0.19657142857142856,0.18685714285714286
sensitivity_operation_modes,Warehouse-M,random_modes_heuristic,conservative,0.9742857142857143,1.0657142857142856,1.042857142857143,0.9828571428571429,0.9342857142857143,0.19485714285714287,0.21314285714285713,0.20857142857142857,0.19657142857142856,0.18685714285714286
sensitivity_operation_modes,Warehouse-M,random_modes_heuristic,default,0.9742857142857143,1.0657142857142856,1.042857142857143,0.9828571428571429,0.9342857142857143,0.19485714285714287,0.21314285714285713,0.20857142857142857,0.19657142857142856,0.18685714285714286
