scenario,scenario_size,seed,mode_profile,ample_welfare,clustered_welfare,welfare_loss_vs_global,ample_overhead_ms,clustered_overhead_ms,relative_overhead_reduction_c_ample_vs_ample,cluster_count,avg_cluster_size,graph_cut
scalability_sweep,Warehouse-M,0,default,582.5574420100437,607.3553590897997,0.0,0.6383632387345036,0.8725152118131518,-0.366800528086224,0.7666666666666667,1.5666666666666667,0.0
scalability_sweep,Warehouse-M,1,default,569.3400413252117,578.9956828992381,0.0,0.42104929064710933,0.661905505694449,-0.572038049695247,0.7666666666666667,1.3,0.0
scalability_sweep,Warehouse-M,2,default,594.0485132624201,591.9937466292739,2.054766633146187,0.4633882703880469,0.8152889320626855,-0.7594077885915255,0.8333333333333334,1.5833333333333333,0.0
scalability_sweep,Warehouse-M,3,default,676.5038549567034,687.4134787966499,0.0,0.4707520129159093,0.9476291403795282,-1.0130113401104113,0.8166666666666667,1.7083333333333333,0.023541376262992086
scalability_sweep,Warehouse-M,4,default,632.1788389575195,621.8696585212017,10.309180436317774,0.41024663175145787,0.7037813775241375,-0.7155079970297319,0.8166666666666667,1.3666666666666667,0.011440210555851572
scalability_sweep,Warehouse-M+,0,default,622.0928444679517,621.2188143368616,0.8740301310901941,0.9728985760981838,1.9403207581490278,-0.9943710534870934,0.7666666666666667,1.5666666666666667,0.0
scalability_sweep,Warehouse-M+,1,default,810.053336351297,827.702463004826,0.0,0.9965514686579505,1.7116091446951032,-0.7175321080005193,0.7666666666666667,1.3,0.0
scalability_sweep,Warehouse-M+,2,default,701.3975416893637,689.1069362621183,12.290605427245396,1.1096979879463713,2.022159604045252,-0.8222612152226209,0.85,1.55,0.07357378397064135
scalability_sweep,Warehouse-M+,3,default,896.7443830963888,905.8945938729852,0.0,1.2692715041339397,2.5390193797647953,-1.000375310952278,0.8,1.75,0.0
scalability_sweep,Warehouse-M+,4,default,819.5154809257344,813.2483630157808,6.26711790995364,1.0727736167609692,1.818699249997735,-0.6953243644161784,0.8,1.4,0.0
scalability_sweep,Warehouse-S,0,default,643.9013479615544,650.4759331426901,0.0,0.21350125316530466,0.44242282553265494,-1.0722258955084742,0.6166666666666667,0.9333333333333333,0.0
scalability_sweep,Warehouse-S,1,default,309.47007281402443,300.6605862069508,8.809486607073609,0.1761818149437507,0.24243752316882214,-0.37606439828210864,0.5333333333333333,0.6166666666666667,0.0
scalability_sweep,Warehouse-S,2,default,547.674328505726,535.2138910241639,12.460437481562053,0.23662487510591745,0.4014271078631282,-0.696470447933432,0.7333333333333333,1.0333333333333334,0.0
scalability_sweep,Warehouse-S,3,default,541.870178086845,532.967844900119,8.902333186726082,0.20184654276818037,0.32556944837172824,-0.6129552872532622,0.6,1.0166666666666666,0.0
scalability_sweep,Warehouse-S,4,default,374.20641408605735,376.00195582127026,0.0,0.17924035588900247,0.27715000323951244,-0.5462477847965339,0.6833333333333333,0.95,0.0
scalability_sweep,Warehouse-XL,0,default,2934.2086589233395,2920.6362054686997,13.572453454639799,69.51658957016964,76.33237221743912,-0.09804541174146152,1.4,4.733333333333333,4.468829114267639
scalability_sweep,Warehouse-XL,1,default,3087.33212601047,3093.3121645556685,0.0,29.699982594077785,41.95586727776875,-0.4126562917964406,1.55,4.108333333333333,4.916876344991231
scalability_sweep,Warehouse-XL,2,default,3074.544264257529,3066.9926036740467,7.551660583482317,82.16334719521303,44.18620416739335,0.4622151400135789,1.5833333333333333,4.091666666666667,6.2003697503820865
scalability_sweep,Warehouse-XL,3,default,3253.7328832507255,3166.433107014228,87.29977623649756,30.27048467192799,47.000724310055375,-0.5526915019514884,1.6166666666666667,4.15,7.737780103043499
scalability_sweep,Warehouse-XL,4,default,2905.507961541353,2843.9462861940706,61.56167534728229,281.9024584644164,43.00351308193058,0.8474525078064945,1.5333333333333334,3.9916666666666667,5.325961333112545
clustered_vs_global,Warehouse-L,0,default,2211.8458956979857,2207.336510889275,4.50938480871082,3.1590696291199754,7.112857260342155,-1.2515671053200526,1.2,3.107142857142857,1.8261389340636236
clustered_vs_global,Warehouse-L,1,default,1701.6815567223296,1688.5941913422407,13.08736538008884,2.8822245209344795,6.517974453579102,-1.2614388317901875,1.0714285714285714,3.2642857142857142,0.15331817763691644
clustered_vs_global,Warehouse-L,2,default,1912.1677351579963,1900.6517995878053,11.515935570191004,2.796539750748447,6.829998263024858,-1.4423033004257935,1.0714285714285714,3.107142857142857,1.5158267583868836
clustered_vs_global,Warehouse-L,3,default,1802.644635402032,1732.0350926714113,70.60954273062066,2.814163187784808,8.801248230572257,-2.1274832492923887,1.0571428571428572,3.2928571428571427,0.7418031114394666
clustered_vs_global,Warehouse-L,4,default,1598.877342308074,1670.6181066242673,0.0,2.5270861174379076,6.252396951562592,-1.474152704341394,1.0,3.007142857142857,0.3395443402360755
sensitivity_operation_modes,Warehouse-M,0,aggressive_bias,787.7755611148806,797.4549233749701,0.0,0.5555964673736266,1.4730582412864481,-1.6513095885036442,0.7857142857142857,1.7428571428571429,0.0
sensitivity_operation_modes,Warehouse-M,1,aggressive_bias,952.1162076661798,938.5809722036283,13.53523546255144,0.5721582831548793,1.176957120852811,-1.0570481202562907,0.8571428571428571,1.7857142857142858,0.0
sensitivity_operation_modes,Warehouse-M,2,aggressive_bias,915.9167176299303,900.036205021203,15.880512608727258,0.6692041044256517,1.3354261937950338,-0.9955439378859923,0.8571428571428571,2.085714285714286,0.0
sensitivity_operation_modes,Warehouse-M,3,aggressive_bias,1052.721680761864,1074.7086607397014,0.0,0.6755641129400048,1.2551316459264075,-0.8579015993969362,0.9142857142857143,1.95,0.1049752367555971
sensitivity_operation_modes,Warehouse-M,4,aggressive_bias,1048.8157425911616,1012.6263568221957,36.18938576896585,0.8521630827869687,1.1971570418349333,-0.4048449950679326,0.9142857142857143,1.7,0.05401195170826953
sensitivity_operation_modes,Warehouse-M,0,conservative,768.7896438096094,766.3082473256557,2.481396483953745,0.5622857449842351,1.0876292495855264,-0.9342998809546923,0.7857142857142857,1.7428571428571429,0.0
sensitivity_operation_modes,Warehouse-M,1,conservative,925.7753973500778,914.8011836910931,10.974213658984695,0.6494678756488221,1.152689868052091,-0.7748219908498895,0.8571428571428571,1.7857142857142858,0.0
sensitivity_operation_modes,Warehouse-M,2,conservative,868.9262972942648,862.7790822833084,6.147215010956415,0.6256375195724624,1.3011475293231862,-1.0797146728225995,0.8571428571428571,2.085714285714286,0.0
sensitivity_operation_modes,Warehouse-M,3,conservative,1019.4342858290034,994.9953204629753,24.43896536602813,0.5635035091212818,1.1675405049962657,-1.0719312055694372,0.9142857142857143,1.95,0.10891330706623409
sensitivity_operation_modes,Warehouse-M,4,conservative,995.5402232105353,987.7726269718197,7.767596238715555,0.5885375264499869,1.1009899234133107,-0.8707217024110547,0.9142857142857143,1.7,0.05276142936712368
sensitivity_operation_modes,Warehouse-M,0,default,787.8326515119318,788.3025014125653,0.0,0.5538606683590582,1.1211850347795658,-1.0243088177778332,0.7857142857142857,1.7428571428571429,0.0
sensitivity_operation_modes,Warehouse-M,1,default,944.4296325133145,932.7280561778339,11.701576335480581,0.5931975852165904,1.2089005205780268,-1.0379390454474435,0.8571428571428571,1.7857142857142858,0.0
sensitivity_operation_modes,Warehouse-M,2,default,893.7623624296166,867.3056326798361,26.456729749780493,0.6479083626930203,1.3159558176994324,-1.031083241817846,0.8571428571428571,2.085714285714286,0.0
sensitivity_operation_modes,Warehouse-M,3,default,1015.1637679735352,1036.427956878405,0.0,0.5748220386781863,1.3783404936215706,-1.3978560334796657,0.9142857142857143,1.95,0.10718587834076736
sensitivity_operation_modes,Warehouse-M,4,default,1013.715487242634,1013.1821260353803,0.5333612072537335,0.5914768137569938,2.5229398294218948,-3.265492358688528,0.9142857142857143,1.7,0.052084054585851816
