scenario,scenario_size,method,mode_profile,task_class,assigned_task_count,total_task_payment,mean_task_payment,total_task_externality,mean_task_externality
peak_warehouse_load,Warehouse-M,fixed_heuristic,default,telemetry_diagnostics,183,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,fixed_vcg,default,inventory_recognition,104,0.2121362197739023,0.0020397713439798295,0.2121362197739023,0.0020397713439798295
peak_warehouse_load,Warehouse-M,fixed_vcg,default,localization_slam,223,1.9606538614880265e-13,8.792169782457518e-16,1.9606538614880265e-13,8.792169782457518e-16
peak_warehouse_load,Warehouse-M,fixed_vcg,default,obstacle_detection,137,7.149836278586008e-14,5.218858597508035e-16,7.149836278586008e-14,5.218858597508035e-16
peak_warehouse_load,Warehouse-M,fixed_vcg,default,path_replanning,184,0.0246564891009613,0.00013400265815739835,0.0246564891009613,0.00013400265815739835
peak_warehouse_load,Warehouse-M,fixed_vcg,default,perception,68,4.707345624410664e-14,6.922567094721564e-16,4.707345624410664e-14,6.922567094721564e-16
peak_warehouse_load,Warehouse-M,fixed_vcg,default,telemetry_diagnostics,183,1.5476508963274682e-13,8.457108723100919e-16,1.5476508963274682e-13,8.457108723100919e-16
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,inventory_recognition,98,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,localization_slam,223,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,obstacle_detection,156,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,path_replanning,184,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,perception,74,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,telemetry_diagnostics,183,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,ample_amr,default,inventory_recognition,98,2.5757174171303632e-14,2.628283078704452e-16,2.5757174171303632e-14,2.628283078704452e-16
peak_warehouse_load,Warehouse-M,ample_amr,default,localization_slam,223,2.1671553440683056e-13,9.718185399409442e-16,2.1671553440683056e-13,9.718185399409442e-16
peak_warehouse_load,Warehouse-M,ample_amr,default,obstacle_detection,156,5.861977570020827e-14,3.75767792950053e-16,5.861977570020827e-14,3.75767792950053e-16
peak_warehouse_load,Warehouse-M,ample_amr,default,path_replanning,184,1.8618440122963875e-13,1.0118717458132542e-15,1.8618440122963875e-13,1.0118717458132542e-15
peak_warehouse_load,Warehouse-M,ample_amr,default,perception,74,1.0880185641326534e-14,1.4702953569360181e-16,1.0880185641326534e-14,1.4702953569360181e-16
peak_warehouse_load,Warehouse-M,ample_amr,default,telemetry_diagnostics,183,5.684341886080802e-14,3.106197751956722e-16,5.684341886080802e-14,3.106197751956722e-16
peak_warehouse_load,Warehouse-M,c_ample_amr,default,inventory_recognition,95,4.574118861455645e-14,4.814861959426995e-16,4.574118861455645e-14,4.814861959426995e-16
peak_warehouse_load,Warehouse-M,c_ample_amr,default,localization_slam,223,1.1390888232654106e-13,5.108021628992873e-16,1.1390888232654106e-13,5.108021628992873e-16
peak_warehouse_load,Warehouse-M,c_ample_amr,default,obstacle_detection,158,7.283063041541027e-14,4.609533570595587e-16,7.283063041541027e-14,4.609533570595587e-16
peak_warehouse_load,Warehouse-M,c_ample_amr,default,path_replanning,184,1.3100631690576847e-13,7.119908527487417e-16,1.3100631690576847e-13,7.119908527487417e-16
peak_warehouse_load,Warehouse-M,c_ample_amr,default,perception,71,0.42055496275658255,0.005923309334599754,0.42055496275658255,0.005923309334599754
peak_warehouse_load,Warehouse-M,c_ample_amr,default,telemetry_diagnostics,183,1.0169642905566434e-13,5.557181915610073e-16,1.0169642905566434e-13,5.557181915610073e-16
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,inventory_recognition,97,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,localization_slam,224,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,obstacle_detection,145,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,path_replanning,184,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,perception,69,0.0,0.0,0.0,0.0
peak_warehouse_load,Warehouse-M,random_modes_heuristic,default,telemetry_diagnostics,183,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,inventory_recognition,72,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,localization_slam,138,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,obstacle_detection,101,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,path_replanning,104,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,perception,64,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,telemetry_diagnostics,98,0.0,0.0,0.0,0.0
