scenario,scenario_size,method,mode_profile,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,node_compensation_sum,average_externality,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global
scalability_sweep,Warehouse-L,ample_amr,default,1407.3293945276673,133.2,184.8,0.7192066584013731,0.2796504844557698,0.001142857142857143,19.702092416411922,53.696032077764,0.04281643132239198,0.08662872396197148,0.2,2.041964586048077,0.1269643047514061,2.1689288907994824,0.021689288907994826,7.513989430663059e-14,328.80305833003024,4.0299333535123934e-16,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,c_ample_amr,default,1399.1045525245738,132.2,184.8,0.7134291858739006,0.28657081412609947,0.0,19.63307975350451,59.200323144838,0.042588098601447154,0.08588576641352227,0.2,5.51683247477437,0.14948333768794933,5.66631581246232,0.05666315812462319,6.51922960059892e-14,340.2762130394205,3.409019098756159e-16,1.0,2.908333333333333,0.3314979648917373,0.0
scalability_sweep,Warehouse-L,fixed_heuristic,default,1273.046787223323,133.0,184.8,0.7189561398260034,0.2810438601739967,0.0,20.00081426159419,56.74828494528015,0.042663756887321644,0.08309309052504897,0.0,1.9938700009758275,0.0,1.9938700009758275,0.019938700009758274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,fixed_vcg,default,1273.046787223323,133.0,184.8,0.7189561398260034,0.2810438601739967,0.0,20.00081426159419,56.74828494528015,0.042663756887321644,0.08309309052504897,0.0,2.170605428206424,0.0,2.170605428206424,0.02170605428206424,8.659739592076221e-14,297.2523396043588,3.8818331265449365e-16,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-L,qmix_heuristic,default,1407.3293945276673,133.2,184.8,0.7192066584013731,0.2796504844557698,0.001142857142857143,19.702092416411922,53.696032077764,0.04281643132239198,0.08662872396197148,0.2,1.873063453628371,0.15356891322880983,2.0266323668571813,0.02026632366857181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,ample_amr,default,627.103108544108,64.6,91.2,0.7117086086738942,0.28829139132610576,0.0,17.644364973972454,53.448973469695694,0.03957107111755261,0.06400590100040544,0.0,0.42665752427031595,0.0689156586304307,0.4955731829007467,0.0049557318290074665,2.295941214924824e-14,134.9824264476511,1.3680414825658875e-16,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,c_ample_amr,default,618.9850759691317,63.2,91.2,0.6950438699038923,0.3049561300961077,0.0,17.76680715466018,49.55928433441983,0.0396758187026982,0.06445934955389458,0.0,0.8322994597256184,0.0773216582213839,0.9096211179470023,0.009096211179470022,2.3603341503530827e-14,142.41456227255782,1.5201420369395337e-16,0.8,1.5050000000000001,0.00690195760352384,0.0
scalability_sweep,Warehouse-M,fixed_heuristic,default,551.8104178463949,60.6,91.2,0.6686875946002486,0.33131240539975143,0.0,24.09374366885354,72.5733481042489,0.05008662425019859,0.08061121686632886,0.0,0.3700368129648268,0.0,0.3700368129648268,0.003700368129648268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,fixed_vcg,default,551.8104178463949,60.6,91.2,0.6686875946002486,0.33131240539975143,0.0,24.09374366885354,72.5733481042489,0.05008662425019859,0.08061121686632886,0.0,0.3937083327521881,0.0,0.3937083327521881,0.00393708332752188,2.1760371282653068e-14,106.28968677961102,1.2054554885152255e-16,0.0,0.0,0.0,0.0
scalability_sweep,Warehouse-M,qmix_heuristic,default,627.103108544108,64.6,91.2,0.7117086086738942,0.28829139132610576,0.0,17.644364973972454,53.448973469695694,0.03957107111755261,0.06400590100040544,0.0,0.38983193536599475,0.07776242836068073,0.4675943637266755,0.004675943637266755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
